C00259	L-Arabinose
C00842	dTDP-glucose
C04824	Lipid X
C04434	(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate
C07490	Trichloroethanol
C00008	ADP
C03089	5-Methylthio-D-ribose
C17569	Ubiquinone-8
C00085	D-Fructose 6-phosphate
C11638	3-Amino-2-oxopropyl phosphate
C21751	5-Fluorodeoxyuridine triphosphate
C01131	L-Rhamnulose 1-phosphate
C00255	Riboflavin
C05260	(S)-3-Hydroxytetradecanoyl-CoA
C14852	Benzo[a]pyrene-7,8-diol
C19880	D-glycero-alpha-D-manno-Heptose 1-phosphate
C14871	S-(Formylmethyl)glutathione
C03360	4-Nitrophenyl phosphate
C00204	2-Dehydro-3-deoxy-D-gluconate
C03733	UDP-alpha-D-galactofuranose
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C04556	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
C05774	Cobinamide
C00194	Cobamide coenzyme
C00216	D-Arabinose
C00921	Dihydropteroate
C00314	Pyridoxine
C00108	Anthranilate
C00791	Creatinine
C00319	Sphingosine
C07649	5-FU
C19878	D-glycero-alpha-D-manno-Heptose 7-phosphate
C00311	Isocitrate
C12215	Iminoerythrose 4-phosphate
C02730	2-Succinylbenzoate
C04242	5-Fluorodeoxyuridine monophosphate
C03069	3-Methylcrotonyl-CoA
C02336	beta-D-Fructose
C08492	3-Hexenol
C00785	Urocanate
C16328	trans-2-Enoyl-OPC8-CoA
C00133	D-Alanine
C01144	(S)-3-Hydroxybutanoyl-CoA
C21016	Ophthalmate
C01061	4-Fumarylacetoacetate
C03231	3-Methylglutaconyl-CoA
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C05275	trans-Dec-2-enoyl-CoA
C16336	trans-2-Enoyl-OPC4-CoA
C03589	4-Hydroxy-2-oxopentanoate
C21611	3-Dehydro-4-phospho-L-erythronate
C03451	(R)-S-Lactoylglutathione
C03167	Phosphonoacetaldehyde
C06397	ADP-D-glycero-beta-D-manno-heptose
C00458	dCTP
C05116	3-Hydroxybutanoyl-CoA
C03356	3-Phospho-D-erythronate
C06196	2'-Deoxyinosine 5'-phosphate
C16331	OPC6-CoA
C07086	Phenylacetic acid
C00156	4-Hydroxybenzoate
C00469	Ethanol
C06507	Adenosyl cobyrinate hexaamide
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C00219	Arachidonate
C00315	Spermidine
C00160	Glycolate
C00180	Benzoate
C00310	D-Xylulose
C00257	D-Gluconic acid
C16502	Farnesoic acid
C05266	(S)-3-Hydroxyoctanoyl-CoA
C03082	4-Phospho-L-aspartate
C00130	IMP
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole
C00100	Propanoyl-CoA
C07118	Benzoylacetyl-CoA
C06372	Lacto-N-biose
C00058	Formate
C01005	O-Phospho-L-serine
C01212	UDP-N-acetylmuramoyl-L-alanine
C00882	Dephospho-CoA
C09751	Garbanzol
C06505	Cob(I)yrinate a,c diamide
C06506	Adenosyl cobyrinate a,c diamide
C00105	UMP
C07345	Betaine aldehyde hydrate
C21749	5-Fluorouridine triphosphate
C01346	dUDP
C00111	Glycerone phosphate
C05271	trans-Hex-2-enoyl-CoA
C16415	5-Deoxyleucopelargonidin
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C05906	Leucocyanidin
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C05400	Epimelibiose
C00935	UDP-L-arabinose
C05268	(S)-Hydroxyhexanoyl-CoA
C18239	Precursor Z
C00380	Cytosine
C00067	Formaldehyde
C01112	D-Arabinose 5-phosphate
C14145	(3S)-3-Hydroxyadipyl-CoA
C01063	6-Carboxyhexanoyl-CoA
C00366	Urate
C18902	Methylselenic acid
C05921	Biotinyl-5'-AMP
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C00844	Prunasin
C01051	Uroporphyrinogen III
C02225	2-Methylcitrate
C06001	(S)-3-Hydroxyisobutyrate
C02265	D-Phenylalanine
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C04634	1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C05841	Nicotinate D-ribonucleoside
C00482	Sinapate
C16478	3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C01967	Ubiquinone-9
C11736	5-Fluorodeoxyuridine
C07645	Aldophosphamide
C02091	(S)-Ureidoglycine
C00263	L-Homoserine
C12214	Aminofructose 6-phosphate
C00490	Itaconate
C01031	S-Formylglutathione
C06032	D-erythro-3-Methylmalate
C02946	4-Acetamidobutanoate
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C06002	(S)-Methylmalonate semialdehyde
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate
C01179	3-(4-Hydroxyphenyl)pyruvate
C04877	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate
C04186	5-Carboxymethyl-2-hydroxymuconate
C01368	3'-UMP
C02411	Glutaconyl-1-CoA
C03648	cis-3,4-Leucopelargonidin
C03232	3-Phosphonooxypyruvate
C03586	2-Oxo-2,3-dihydrofuran-5-acetate
C19945	3-Oxo-5,6-dehydrosuberyl-CoA
C05966	15(S)-HPETE
C00511	Acrylic acid
C17234	2-Aminobut-2-enoate
C00974	Dihydrokaempferol
C01134	Pantetheine 4'-phosphate
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C11811	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate
C02631	2-Isopropylmaleate
C00666	LL-2,6-Diaminoheptanedioate
C01118	O-Succinyl-L-homoserine
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C11435	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate
C00828	Menaquinone
C20248	7-Carboxy-7-carbaguanine
C16480	4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C03742	(S)-4-Hydroxymandelonitrile
C00488	Formamide
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C05770	Coproporphyrin III
C11437	1-Deoxy-D-xylulose 5-phosphate
C00179	Agmatine
C00673	2-Deoxy-D-ribose 5-phosphate
C01037	7,8-Diaminononanoate
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
C00233	4-Methyl-2-oxopentanoate
C19871	Guanylyl molybdenum cofactor
C00441	L-Aspartate 4-semialdehyde
C11583	4-Glutathionyl cyclophosphamide
C00424	(S)-Lactaldehyde
C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
C20905	2-Iminobutanoate
C05640	Cinnavalininate
C02348	(R)(-)-Allantoin
C00836	Sphinganine
C14800	1-Nitronaphthalene-5,6-oxide
C00329	D-Glucosamine
C02741	Phosphoribosyl-AMP
C05335	L-Selenomethionine
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile
C16470	5-Methylhex-4-enoyl-CoA
C11434	2-C-Methyl-D-erythritol 4-phosphate
C12624	2-Hydroxy-6-ketononatrienedioate
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C00864	Pantothenate
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C19770	N-Acetyl-beta-muramate 6-phosphate
C00032	Heme
C16482	2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C00459	dTTP
C03722	Quinolinate
C03284	L-3-Aminoisobutanoate
C00493	Shikimate
C09736	Fisetinidol-4beta-ol
C06006	(S)-2-Aceto-2-hydroxybutanoate
C02097	dTDP-galactose
C06000	(S)-3-Hydroxyisobutyryl-CoA
C00364	dTMP
C00249	Hexadecanoic acid
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C18345	4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate
C00099	beta-Alanine
C00894	Propenoyl-CoA
C00392	Mannitol
C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
C20390	N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol
C00846	3-Oxoadipate
C06193	Guanosine 3'-phosphate
C21008	7,8-Dihydromonapterin
C00546	Methylglyoxal
C00636	D-Mannose 1-phosphate
C02504	alpha-Isopropylmalate
C05356	5(S)-HPETE
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C14864	S-(2-Chloroacetyl)glutathione
C11924	Perillic acid
C05276	trans-Oct-2-enoyl-CoA
C00140	N-Acetyl-D-glucosamine
C16620	6-Methylthioguanosine monophosphate
C00055	CMP
C00900	2-Acetolactate
C00954	Indole-3-acetate
C00624	N-Acetyl-L-glutamate
C04646	6-Thioinosine-5'-monophosphate
C00861	L-Rhamnulose
C02909	(2-Naphthyl)methanol
C05364	4-Carboxy-2-oxo-3-hexenedioate
C20958	L-Alanyl-L-glutamate
C18174	Carboxynorspermidine
C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
C03785	D-Tagatose 1,6-bisphosphate
C00506	L-Cysteate
C04030	(2,3-Dihydroxybenzoyl)adenylate
C00512	Benzoyl-CoA
C03283	L-2,4-Diaminobutanoate
C05482	Cortol
C00527	Glutaryl-CoA
C00186	(S)-Lactate
C00826	L-Arogenate
C03160	2-Succinylbenzoyl-CoA
C00712	(9Z)-Octadecenoic acid
C00217	D-Glutamate
C06215	Levan
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
C00445	5,10-Methenyltetrahydrofolate
C06615	cis-3-Chloroacrylic acid
C00740	D-Serine
C16639	beta-D-Ribofuranose
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C00363	dTDP
C06762	4-Hydroxy-2-oxohexanoic acid
C05775	alpha-Ribazole
C00756	1-Octanol
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C21250	2-Methyl-trans-aconitate
C00530	Hydroquinone
C05822	3'-CMP
C02944	3-cis-Dodecenoyl-CoA
C03557	2-Aminoethylphosphonate
C05280	cis,cis-3,6-Dodecadienoyl-CoA
C05481	Cortolone
C03273	5-Oxopentanoate
C06612	cis-3-Chloro-2-propene-1-ol
C00669	gamma-L-Glutamyl-L-cysteine
C00632	3-Hydroxyanthranilate
C18076	5'-Phosphoguanylyl(3'->5')guanosine
C00631	2-Phospho-D-glycerate
C00409	Methanethiol
C00979	O-Acetyl-L-serine
C01595	Linoleate
C05699	L-Selenocystathionine
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate
C21858	N-(4-Oxoglutaryl)-L-cysteinylglycine
C00440	5-Methyltetrahydrofolate
C00239	dCMP
C00437	N-Acetylornithine
C00507	L-Rhamnose
C05993	Acetyl adenylate
C00870	4-Nitrophenol
C00510	Oleoyl-CoA
C00245	Taurine
C16475	2-Fluoro-cis,cis-muconate
C00593	Sulfoacetaldehyde
C14803	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
C02218	Dehydroalanine
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C03221	2-trans-Dodecenoyl-CoA
C06611	trans-3-Chloro-2-propene-1-ol
C00688	dTDP-4-dehydro-beta-L-rhamnose
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C01289	N-Acetyl-D-glucosaminyldiphosphoundecaprenol
C05840	Iminoaspartate
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate
C16339	(+)-7-Isojasmonic acid CoA
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C16634	5-Fluorouridine monophosphate
C00984	alpha-D-Galactose
C19877	4-O-Phospho-alpha-Kdo-(2->6)-lipid IVA
C00141	3-Methyl-2-oxobutanoic acid
C21153	Adenosylcobalamin 5'-phosphate
C06614	trans-3-Chloroacrylic acid
C04105	2,5-Dihydro-5-oxofuran-2-acetate
C00596	2-Hydroxy-2,4-pentadienoate
C00048	Glyoxylate
C00489	Glutarate
C02130	Acetyl-maltose
C15522	4a-Hydroxytetrahydrobiopterin
C01909	Dethiobiotin
C06156	alpha-D-Glucosamine 1-phosphate
C01412	Butanal
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C06427	(9Z,12Z,15Z)-Octadecatrienoic acid
C05262	(S)-3-Hydroxydodecanoyl-CoA
C00242	Guanine
C01378	Fustin
C00719	Betaine
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C16633	5-Fluorouridine
C03345	2-Methylbut-2-enoyl-CoA
C00136	Butanoyl-CoA
C06899	Chloral hydrate
C16476	4-Fluoromuconolactone
C02356	(S)-2-Aminobutanoate
C21610	3-Dehydro-4-phospho-D-erythronate
C02835	Imidazole-4-acetate
C00804	Propynoate
C14802	1-Nitronaphthalene-7,8-oxide
C00143	5,10-Methylenetetrahydrofolate
C06010	(S)-2-Acetolactate
C16337	3-Hydroxy-OPC4-CoA
C00345	6-Phospho-D-gluconate
C05378	beta-D-Fructose 1,6-bisphosphate
C00035	GDP
C00498	ADP-glucose
C00083	Malonyl-CoA
C03373	Aminoimidazole ribotide
C16481	6-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C00091	Succinyl-CoA
C18091	Ethylnitronate
C11537	(2R)-3-Sulfolactate
C06893	2-Deoxy-5-keto-D-gluconic acid 6-phosphate
C05811	2-Octaprenyl-6-hydroxyphenol
C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
C18237	Molybdoenzyme molybdenum cofactor
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C05998	3-Hydroxyisovaleryl-CoA
C05852	2-Hydroxyphenylacetate
C06442	N(gamma)-Acetyldiaminobutyrate
C16614	6-Methylmercaptopurine
C20562	N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate
C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C02962	D-Allose 6-phosphate
C14791	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
C03058	2-Hydroxyglutaryl-CoA
C06510	Adenosine-GDP-cobinamide
C04752	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C00992	Aquacob(III)alamin
C00522	(R)-Pantoate
C00154	Palmitoyl-CoA
C00541	Cob(II)alamin
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00644	D-Mannitol 1-phosphate
C02739	1-(5-Phospho-D-ribosyl)-ATP
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C16335	OPC4-CoA
C00134	Putrescine
C03917	Dihydrotestosterone
C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
C15672	Heme O
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate
C04856	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C00748	Siroheme
C00647	Pyridoxamine phosphate
C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate
C05924	Molybdopterin
C01035	4-Guanidinobutanoate
C01674	Chitobiose
C00279	D-Erythrose 4-phosphate
C00492	Raffinose
C00385	Xanthine
C03263	Coproporphyrinogen III
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C14793	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate
C06892	2-Deoxy-5-keto-D-gluconic acid
C00206	dADP
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C05778	Sirohydrochlorin
C05925	Dihydroneopterin phosphate
C00330	Deoxyguanosine
C00668	alpha-D-Glucose 6-phosphate
C19875	alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C00106	Uracil
C00576	Betaine aldehyde
C01494	Ferulate
C00197	3-Phospho-D-glycerate
C05810	2-Octaprenylphenol
C04039	2,3-Dihydroxy-3-methylbutanoate
C01036	4-Maleylacetoacetate
C00993	D-Alanyl-D-alanine
C00184	Glycerone
C13425	3-Hexaprenyl-4-hydroxybenzoate
C00212	Adenosine
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid
C08353	beta-D-Ribopyranose
C00309	D-Ribulose
C00705	dCDP
C00357	N-Acetyl-D-glucosamine 6-phosphate
C06055	O-Phospho-4-hydroxy-L-threonine
C01094	D-Fructose 1-phosphate
C16618	6-Thioxanthine 5'-monophosphate
C03150	Nicotinamide-beta-riboside
C00402	D-Aspartate
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C06187	Arbutin 6-phosphate
C01089	(R)-3-Hydroxybutanoate
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C03539	S-Ribosyl-L-homocysteine
C01081	Thiamin monophosphate
C00131	dATP
C06504	Cob(II)yrinate a,c diamide
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C05345	beta-D-Fructose 6-phosphate
C00361	dGDP
C14874	Glutathione episulfonium ion
C06755	Chloroacetic acid
C01530	Octadecanoic acid
C00251	Chorismate
C00232	Succinate semialdehyde
C20062	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA
C00167	UDP-glucuronate
C01617	Taxifolin
C02630	2-Hydroxyglutarate
C05512	Deoxyinosine
C02514	3-Fumarylpyruvate
C16332	trans-2-Enoyl-OPC6-CoA
C05123	2-Hydroxyethanesulfonate
C00250	Pyridoxal
C04112	3-Methyl-cis,cis-hexadienedioate
C01163	3-Carboxy-cis,cis-muconate
C00253	Nicotinate
C05691	Se-Adenosylselenomethionine
C04122	D-1-Aminopropan-2-ol O-phosphate
C00627	Pyridoxine phosphate
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil
C00352	D-Glucosamine 6-phosphate
C00802	Oxalureate
C02291	L-Cystathionine
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C18172	Carboxyspermidine
C06321	(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C00199	D-Ribulose 5-phosphate
C06188	Salicin 6-phosphate
C06441	L-Xylulose 1-phosphate
C00020	AMP
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00436	N-Carbamoylputrescine
C00231	D-Xylulose 5-phosphate
C03506	Indoleglycerol phosphate
C19891	1D-chiro-Inositol
C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
C03657	1,4-Dihydroxy-2-naphthoate
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C21748	5-Fluorouridine diphosphate
C05812	2-Octaprenyl-6-methoxyphenol
C00299	Uridine
C00918	Chloramphenicol
C00526	Deoxyuridine
C03090	5-Phosphoribosylamine
C05984	2-Hydroxybutanoic acid
C04171	(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate
C14089	1-Hydroxymethylnaphthalene
C03492	D-4'-Phosphopantothenate
C00230	3,4-Dihydroxybenzoate
C05635	5-Hydroxyindoleacetate
C02659	Acetone cyanohydrin
C00582	Phenylacetyl-CoA
C00877	Crotonoyl-CoA
C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A)
C03741	(S)-4-Amino-5-oxopentanoate
C00163	Propanoate
C00680	meso-2,6-Diaminoheptanedioate
C00189	Ethanolamine
C00164	Acetoacetate
C05815	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C07648	Thioguanine
C19929	N(alpha)-Acetyl-L-2,4-diaminobutyrate
C00460	dUTP
C20895	(2S,3S)-3-Methylphenylalanine
C00118	D-Glyceraldehyde 3-phosphate
C00885	Isochorismate
C00508	L-Ribulose
C00052	UDP-alpha-D-galactose
C04559	4-Methylmuconolactone
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C03601	Chloramphenicol 3-acetate
C03972	2,3,4,5-Tetrahydrodipicolinate
C00860	L-Histidinol
C17568	Ubiquinone-6
C16586	2-Phenyl-1,3-propanediol monocarbamate
C00227	Acetyl phosphate
C03194	(R)-1-Aminopropan-2-ol
C05483	3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one
C00286	dGTP
C00455	Nicotinamide D-ribonucleotide
C00931	Porphobilinogen
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C00084	Acetaldehyde
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C02906	Dihydromyricetin
C05929	10-Formyltetrahydrofolylpolyglutamate
C14859	Chloroacetyl chloride
C00234	10-Formyltetrahydrofolate
C06761	(4E)-2-Oxohexenoic acid
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00196	2,3-Dihydroxybenzoate
C21065	7,8-Dihydroxanthopterin
C01300	6-(Hydroxymethyl)-7,8-dihydropterin
C00542	Cystathionine
C00268	Dihydrobiopterin
C03064	3-Dehydro-L-threonate
C05947	L-erythro-4-Hydroxyglutamate
C05823	3-Mercaptolactate
C03393	4-Phospho-D-erythronate
C03460	2-Methylprop-2-enoyl-CoA
C00853	Cob(I)alamin
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C20957	L-Alanyl-D-glutamate
C05528	3-Sulfopyruvate
C14610	(S)-5-Oxo-2,5-dihydrofuran-2-acetate
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C00412	Stearoyl-CoA
C01250	N-Acetyl-L-glutamate 5-semialdehyde
C02191	Protoporphyrin
C05698	Selenohomocysteine
C04053	5-Dehydro-4-deoxy-D-glucuronate
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C16473	4-Fluorocatechol
C03671	2-Pyrone-4,6-dicarboxylate
C19771	2'-(5-Triphosphoribosyl)-3'-dephospho-CoA
C05382	Sedoheptulose 7-phosphate
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole
C00439	N-Formimino-L-glutamate
C00446	alpha-D-Galactose 1-phosphate
C05402	Melibiose
C16619	6-Thioguanosine monophosphate
C20646	(3S)-2-Oxo-3-phenylbutanoate
C01228	Guanosine 3',5'-bis(diphosphate)
C05809	3-Octaprenyl-4-hydroxybenzoate
C09332	THF-L-glutamate
C00365	dUMP
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C18094	UDP-L-arabinofuranose
C00327	L-Citrulline
C14863	2-(S-Glutathionyl)acetyl glutathione
C01087	(R)-2-Hydroxyglutarate
C00169	Carbamoyl phosphate
C07090	Protoanemonin
C01080	Reduced coenzyme F420
C00818	D-Glucarate
C14858	2,2-Dichloroacetaldehyde
C00417	cis-Aconitate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00827	Lactoyl-CoA
C00473	Retinol
C01165	L-Glutamate 5-semialdehyde
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C05819	Menaquinol
C01563	Carbamate
C00491	L-Cystine
C02939	3-Methylbutanoyl-CoA
C00214	Thymidine
C15976	2-Methyl-1-hydroxypropyl-ThPP
C01050	UDP-N-acetylmuramate
C03838	5'-Phosphoribosylglycinamide
C06790	Trichloroethene
C20483	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C00794	D-Sorbitol
C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid
C00262	Hypoxanthine
C04805	5(S)-HETE
C12248	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
C16468	(2E)-5-Methylhexa-2,4-dienoyl-CoA
C06231	Ectoine
C05696	3'-Phosphoadenylylselenate
C00579	Dihydrolipoamide
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
