C00025	L-Glutamate
C00094	Sulfite
C00095	D-Fructose
C00097	L-Cysteine
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C21250	2-Methyl-trans-aconitate
C00242	Guanine
C00244	Nitrate
C03064	3-Dehydro-L-threonate
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
C00460	dUTP
C00568	4-Aminobenzoate
C00166	Phenylpyruvate
C00167	UDP-glucuronate
C00160	Glycolate
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C00163	Propanoate
C01094	D-Fructose 1-phosphate
C00168	Hydroxypyruvate
C00827	Lactoyl-CoA
C00877	Crotonoyl-CoA
C00068	Thiamin diphosphate
C00826	L-Arogenate
C05686	Adenylylselenate
C00345	6-Phospho-D-gluconate
C04377	5,10-Methylenetetrahydromethanopterin
C04376	5'-Phosphoribosyl-N-formylglycinamide
C00061	FMN
C00063	CTP
C00062	L-Arginine
C00065	L-Serine
C00064	L-Glutamine
C00067	Formaldehyde
C00860	L-Histidinol
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C00864	Pantothenate
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C03028	Thiamin triphosphate
C05925	Dihydroneopterin phosphate
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C05922	Formamidopyrimidine nucleoside triphosphate
C01144	(S)-3-Hydroxybutanoyl-CoA
C21618	2-Dehydro-L-erythronate
C05929	10-Formyltetrahydrofolylpolyglutamate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C00984	alpha-D-Galactose
C03561	(R)-3-Hydroxybutanoyl-CoA
C00669	gamma-L-Glutamyl-L-cysteine
C00668	alpha-D-Glucose 6-phosphate
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C03406	N-(L-Arginino)succinate
C05512	Deoxyinosine
C00117	D-Ribose 5-phosphate
C00116	Glycerol
C00111	Glycerone phosphate
C00112	CDP
C15522	4a-Hydroxytetrahydrobiopterin
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00409	Methanethiol
C00327	L-Citrulline
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
C03492	D-4'-Phosphopantothenate
C00697	Nitrogen
C00037	Glycine
C01346	dUDP
C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
C18091	Ethylnitronate
C02630	2-Hydroxyglutarate
C06441	L-Xylulose 1-phosphate
C03160	2-Succinylbenzoyl-CoA
C00268	Dihydrobiopterin
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C15996	7-Cyano-7-carbaguanine
C00508	L-Ribulose
C02356	(S)-2-Aminobutanoate
C00267	alpha-D-Glucose
C00266	Glycolaldehyde
C00469	Ethanol
C00188	L-Threonine
C00186	(S)-Lactate
C00184	Glycerone
C06006	(S)-2-Aceto-2-hydroxybutanoate
C00183	L-Valine
C00463	Indole
C03319	dTDP-L-rhamnose
C00286	dGTP
C00283	Hydrogen sulfide
C00282	Hydrogen
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C00320	Thiosulfate
C00288	HCO3-
C00279	D-Erythrose 4-phosphate
C01163	3-Carboxy-cis,cis-muconate
C00842	dTDP-glucose
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C01563	Carbamate
C00164	Acetoacetate
C02265	D-Phenylalanine
C00152	L-Asparagine
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C00019	S-Adenosyl-L-methionine
C00217	D-Glutamate
C02739	1-(5-Phospho-D-ribosyl)-ATP
C00212	Adenosine
C00036	Oxaloacetate
C05841	Nicotinate D-ribonucleoside
C00035	GDP
C00033	Acetate
C00031	D-Glucose
C00136	Butanoyl-CoA
C00135	L-Histidine
C00134	Putrescine
C00133	D-Alanine
C00131	dATP
C00130	IMP
C00596	2-Hydroxy-2,4-pentadienoate
C05364	4-Carboxy-2-oxo-3-hexenedioate
C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C00447	Sedoheptulose 1,7-bisphosphate
C00446	alpha-D-Galactose 1-phosphate
C00445	5,10-Methenyltetrahydrofolate
C00488	Formamide
C00440	5-Methyltetrahydrofolate
C19878	D-glycero-alpha-D-manno-Heptose 7-phosphate
C00526	Deoxyuridine
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C00522	(R)-Pantoate
C00169	Carbamoyl phosphate
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00042	Succinate
C00041	L-Alanine
C01847	Reduced FMN
C00047	L-Lysine
C00044	GTP
C00049	L-Aspartate
C00048	Glyoxylate
C21065	7,8-Dihydroxanthopterin
C04115	4-Carboxy-4-hydroxy-2-oxoadipate
C13378	alpha,beta-Dihydroxyethyl-TPP
C01101	L-Ribulose 5-phosphate
C01100	L-Histidinol phosphate
C03838	5'-Phosphoribosylglycinamide
C03722	Quinolinate
C05402	Melibiose
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C04030	(2,3-Dihydroxybenzoyl)adenylate
C00620	alpha-D-Ribose 1-phosphate
C11355	4-Amino-4-deoxychorismate
C05684	Selenite
C00624	N-Acetyl-L-glutamate
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C01228	Guanosine 3',5'-bis(diphosphate)
C00785	Urocanate
C03680	4-Imidazolone-5-propanoate
C00239	dCMP
C03684	6-Pyruvoyltetrahydropterin
C00230	3,4-Dihydroxybenzoate
C00231	D-Xylulose 5-phosphate
C00232	Succinate semialdehyde
C00233	4-Methyl-2-oxopentanoate
C00234	10-Formyltetrahydrofolate
C05688	L-Selenocysteine
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C00237	CO
C00010	CoA
C05984	2-Hydroxybutanoic acid
C00013	Diphosphate
C00014	Ammonia
C00015	UDP
C00016	FAD
C05823	3-Mercaptolactate
C00153	Nicotinamide
C05821	Enterochelin
C00156	4-Hydroxybenzoate
C04039	2,3-Dihydroxy-3-methylbutanoate
C00957	Mercaptopyruvate
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C00214	Thymidine
C05345	beta-D-Fructose 6-phosphate
C01236	D-Glucono-1,5-lactone 6-phosphate
C02336	beta-D-Fructose
C04484	4-Carboxy-2-hydroxymuconate semialdehyde
C04628	Coenzyme B
C03733	UDP-alpha-D-galactofuranose
C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
C01036	4-Maleylacetoacetate
C00059	Sulfate
C01061	4-Fumarylacetoacetate
C03451	(R)-S-Lactoylglutathione
C00302	Glutamate
C20969	Carboxyphosphate
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil
C05840	Iminoaspartate
C06398	ADP-L-glycero-beta-D-manno-heptose
C00380	Cytosine
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
C01127	4-Hydroxy-2-oxoglutarate
C00253	Nicotinate
C00251	Chorismate
C00256	(R)-Lactate
C03506	Indoleglycerol phosphate
C00254	Prephenate
C00255	Riboflavin
C00392	Mannitol
C00258	D-Glycerate
C00259	L-Arabinose
C00330	Deoxyguanosine
C00655	Xanthosine 5'-phosphate
C00559	Deoxyadenosine
C03296	N2-Succinyl-L-arginine
C00492	Raffinose
C00493	Shikimate
C00555	4-Aminobutyraldehyde
C00885	Isochorismate
C00498	ADP-glucose
C00882	Dephospho-CoA
C01327	Hydrochloric acid
C00078	L-Tryptophan
C00079	L-Phenylalanine
C00073	L-Methionine
C02741	Phosphoribosyl-AMP
C00077	L-Ornithine
C00074	Phosphoenolpyruvate
C00075	UTP
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C00979	O-Acetyl-L-serine
C21016	Ophthalmate
C00329	D-Glucosamine
C00262	Hypoxanthine
C00086	Urea
C00085	D-Fructose 6-phosphate
C00084	Acetaldehyde
C00083	Malonyl-CoA
C00082	L-Tyrosine
C00081	ITP
C00080	H+
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C04494	Guanosine 3'-diphosphate 5'-triphosphate
C04434	(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate
C03175	Shikimate 3-phosphate
C00407	L-Isoleucine
C00089	Sucrose
C00088	Nitrite
C03576	Coenzyme M
C00671	(S)-3-Methyl-2-oxopentanoic acid
C00672	2-Deoxy-D-ribose 1-phosphate
C00673	2-Deoxy-D-ribose 5-phosphate
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C01412	Butanal
C09332	THF-L-glutamate
C00104	IDP
C00105	UMP
C00103	D-Glucose 1-phosphate
C00100	Propanoyl-CoA
C00101	Tetrahydrofolate
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C00108	Anthranilate
C00109	2-Oxobutanoate
C04171	(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate
C00577	D-Glyceraldehyde
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C00575	3',5'-Cyclic AMP
C01300	6-(Hydroxymethyl)-7,8-dihydropterin
C00360	dAMP
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C00361	dGDP
C00147	Adenine
C00900	2-Acetolactate
C00177	Cyanide ion
C00175	Cobalt ion
C00179	Agmatine
C00475	Cytidine
C02218	Dehydroalanine
C00055	CMP
C00294	Inosine
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C03090	5-Phosphoribosylamine
C05697	Selenate
C05696	3'-Phosphoadenylylselenate
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C00352	D-Glucosamine 6-phosphate
C17234	2-Aminobut-2-enoate
C00299	Uridine
C01762	Xanthosine
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C00158	Citrate
C11434	2-C-Methyl-D-erythritol 4-phosphate
C11435	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C00857	Deamino-NAD+
C03657	1,4-Dihydroxy-2-naphthoate
C00106	Uracil
C06156	alpha-D-Glucosamine 1-phosphate
C05116	3-Hydroxybutanoyl-CoA
C01179	3-(4-Hydroxyphenyl)pyruvate
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C00178	Thymine
C04411	(2R,3S)-3-Isopropylmalate
C01172	beta-D-Glucose 6-phosphate
C03393	4-Phospho-D-erythronate
C00993	D-Alanyl-D-alanine
C21858	N-(4-Oxoglutaryl)-L-cysteinylglycine
C11437	1-Deoxy-D-xylulose 5-phosphate
C00617	UDP-D-galacturonate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C00121	D-Ribose
C00122	Fumarate
C00123	L-Leucine
C00124	D-Galactose
C00127	Glutathione disulfide
C21617	2-Dehydro-D-erythronate
C21612	3-Dehydro-L-erythronate
C21611	3-Dehydro-4-phospho-L-erythronate
C21610	3-Dehydro-4-phospho-D-erythronate
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C01182	D-Ribulose 1,5-bisphosphate
C00688	dTDP-4-dehydro-beta-L-rhamnose
C05378	beta-D-Fructose 1,6-bisphosphate
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C05382	Sedoheptulose 7-phosphate
C02097	dTDP-galactose
C03150	Nicotinamide-beta-riboside
C06473	2-Keto-D-gluconic acid
C00458	dCTP
C00459	dTTP
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C00199	D-Ribulose 5-phosphate
C00051	Glutathione
C20641	L-Threonylcarbamoyladenylate
C00053	3'-Phosphoadenylyl sulfate
C00197	3-Phospho-D-glycerate
C00196	2,3-Dihydroxybenzoate
C00058	Formate
C00455	Nicotinamide D-ribonucleotide
C00192	Hydroxylamine
C20248	7-Carboxy-7-carbaguanine
C15974	3-Methyl-1-hydroxybutyl-ThPP
C15976	2-Methyl-1-hydroxypropyl-ThPP
C15978	2-Methyl-1-hydroxybutyl-ThPP
C00354	D-Fructose 1,6-bisphosphate
C00332	Acetoacetyl-CoA
C00334	4-Aminobutanoate
C00337	(S)-Dihydroorotate
C00118	D-Glyceraldehyde 3-phosphate
C01112	D-Arabinose 5-phosphate
C21113	NMNH
C00011	CO2
C00052	UDP-alpha-D-galactose
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C01050	UDP-N-acetylmuramate
C00257	D-Gluconic acid
C19771	2'-(5-Triphosphoribosyl)-3'-dephospho-CoA
C01212	UDP-N-acetylmuramoyl-L-alanine
C00631	2-Phospho-D-glycerate
C01419	Cys-Gly
C20904	2-Iminopropanoate
C20905	2-Iminobutanoate
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C13645	Hydrobromic acid
C01352	FADH2
C01353	Carbonic acid
C01217	5,6,7,8-Tetrahydromethanopterin
C03058	2-Hydroxyglutaryl-CoA
C06397	ADP-D-glycero-beta-D-manno-heptose
C06010	(S)-2-Acetolactate
C00206	dADP
C00203	UDP-N-acetyl-D-galactosamine
C07836	D-glycero-beta-D-manno-Heptose 7-phosphate
