C00025	L-Glutamate
C04377	5,10-Methylenetetrahydromethanopterin
C04376	5'-Phosphoribosyl-N-formylglycinamide
C00061	FMN
C05688	L-Selenocysteine
C00062	L-Arginine
C00065	L-Serine
C00064	L-Glutamine
C00067	Formaldehyde
C00860	L-Histidinol
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C04076	L-2-Aminoadipate 6-semialdehyde
C01419	Cys-Gly
C00740	D-Serine
C05922	Formamidopyrimidine nucleoside triphosphate
C00748	Siroheme
C05929	10-Formyltetrahydrofolylpolyglutamate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C00984	alpha-D-Galactose
C00669	gamma-L-Glutamyl-L-cysteine
C00668	alpha-D-Glucose 6-phosphate
C00665	beta-D-Fructose 2,6-bisphosphate
C03406	N-(L-Arginino)succinate
C00117	D-Ribose 5-phosphate
C00116	Glycerol
C00111	Glycerone phosphate
C00112	CDP
C04188	S-Methyl-5-thio-D-ribose 1-phosphate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00118	D-Glyceraldehyde 3-phosphate
C00327	L-Citrulline
C02463	Precorrin 2
C02630	2-Hydroxyglutarate
C02067	Pseudouridine
C00262	Hypoxanthine
C00080	H+
C00267	alpha-D-Glucose
C00266	Glycolaldehyde
C00469	Ethanol
C21731	2-(Hydroxysulfanyl)hercynine
C00188	L-Threonine
C00186	(S)-Lactate
C00184	Glycerone
C00237	CO
C00183	L-Valine
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C00329	D-Glucosamine
C00283	Hydrogen sulfide
C05984	2-Hydroxybutanoic acid
C00322	2-Oxoadipate
C00407	L-Isoleucine
C00320	Thiosulfate
C00288	HCO3-
C01165	L-Glutamate 5-semialdehyde
C01168	Pseudouridine 5'-phosphate
C01563	Carbamate
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C05823	3-Mercaptolactate
C00603	(S)-Ureidoglycolate
C00212	Adenosine
C00036	Oxaloacetate
C05841	Nicotinate D-ribonucleoside
C00035	GDP
C00032	Heme
C00033	Acetate
C00031	D-Glucose
C00135	L-Histidine
C00134	Putrescine
C00133	D-Alanine
C00130	IMP
C00931	Porphobilinogen
C04322	Delta1-Pyrroline-5-carboxylate
C00447	Sedoheptulose 1,7-bisphosphate
C00446	alpha-D-Galactose 1-phosphate
C00445	5,10-Methenyltetrahydrofolate
C00440	5-Methyltetrahydrofolate
C00527	Glutaryl-CoA
C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine
C03263	Coproporphyrinogen III
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00042	Succinate
C00041	L-Alanine
C01024	Hydroxymethylbilane
C00047	L-Lysine
C00044	GTP
C21284	Fe-coproporphyrin III
C00049	L-Aspartate
C00048	Glyoxylate
C09332	THF-L-glutamate
C13378	alpha,beta-Dihydroxyethyl-TPP
C01100	L-Histidinol phosphate
C03838	5'-Phosphoribosylglycinamide
C05402	Melibiose
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C00620	alpha-D-Ribose 1-phosphate
C00627	Pyridoxine phosphate
C05684	Selenite
C00624	N-Acetyl-L-glutamate
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C05560	L-2-Aminoadipate adenylate
C08276	3-(Methylthio)propanoate
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C00231	D-Xylulose 5-phosphate
C00233	4-Methyl-2-oxopentanoate
C00234	10-Formyltetrahydrofolate
C00063	CTP
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C06006	(S)-2-Aceto-2-hydroxybutanoate
C00010	CoA
C00158	Citrate
C00013	Diphosphate
C00014	Ammonia
C00015	UDP
C00016	FAD
C00018	Pyridoxal phosphate
C00019	S-Adenosyl-L-methionine
C00152	L-Asparagine
C00957	Mercaptopyruvate
C00956	L-2-Aminoadipate
C05345	beta-D-Fructose 6-phosphate
C02336	beta-D-Fructose
C00059	Sulfate
C00302	Glutamate
C20969	Carboxyphosphate
C00037	Glycine
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C00253	Nicotinate
C00250	Pyridoxal
C00256	(R)-Lactate
C00257	D-Gluconic acid
C00255	Riboflavin
C01083	alpha,alpha-Trehalose
C00492	Raffinose
C01087	(R)-2-Hydroxyglutarate
C03298	Nalpha-Methylhistidine
C00498	ADP-glucose
C00882	Dephospho-CoA
C01327	Hydrochloric acid
C00078	L-Tryptophan
C00079	L-Phenylalanine
C00073	L-Methionine
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C00077	L-Ornithine
C00075	UTP
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C00979	O-Acetyl-L-serine
C21016	Ophthalmate
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C00086	Urea
C00085	D-Fructose 6-phosphate
C00084	Acetaldehyde
C00083	Malonyl-CoA
C00082	L-Tyrosine
C00081	ITP
C02356	(S)-2-Aminobutanoate
C16071	Riboflavin cyclic-4',5'-phosphate
C00089	Sucrose
C00671	(S)-3-Methyl-2-oxopentanoic acid
C02191	Protoporphyrin
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C01250	N-Acetyl-L-glutamate 5-semialdehyde
C00106	Uracil
C00104	IDP
C00105	UMP
C00103	D-Glucose 1-phosphate
C00101	Tetrahydrofolate
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C00109	2-Oxobutanoate
C00900	2-Acetolactate
C00575	3',5'-Cyclic AMP
C01300	6-(Hydroxymethyl)-7,8-dihydropterin
C00279	D-Erythrose 4-phosphate
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C00275	D-Mannose 6-phosphate
C00272	Tetrahydrobiopterin
C00170	5'-Methylthioadenosine
C00177	Cyanide ion
C00475	Cytidine
C01879	5-Oxoproline
C00055	CMP
C00294	Inosine
C03090	5-Phosphoribosylamine
C05697	Selenate
C05696	3'-Phosphoadenylylselenate
C00357	N-Acetyl-D-glucosamine 6-phosphate
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C00352	D-Glucosamine 6-phosphate
C00299	Uridine
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C01079	Protoporphyrinogen IX
C00857	Deamino-NAD+
C15853	Dehydrospermidine
C01179	3-(4-Hydroxyphenyl)pyruvate
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C00750	Spermine
C04411	(2R,3S)-3-Isopropylmalate
C01172	beta-D-Glucose 6-phosphate
C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C05382	Sedoheptulose 7-phosphate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C00121	D-Ribose
C00122	Fumarate
C00123	L-Leucine
C00124	D-Galactose
C00127	Glutathione disulfide
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C00522	(R)-Pantoate
C00689	alpha,alpha'-Trehalose 6-phosphate
C05378	beta-D-Fructose 1,6-bisphosphate
C13645	Hydrobromic acid
C04895	7,8-Dihydroneopterin 3'-triphosphate
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C00199	D-Ribulose 5-phosphate
C00051	Glutathione
C20641	L-Threonylcarbamoyladenylate
C00053	3'-Phosphoadenylyl sulfate
C00058	Formate
C00455	Nicotinamide D-ribonucleotide
C00354	D-Fructose 1,6-bisphosphate
C00331	Indolepyruvate
C05662	Homoisocitrate
C00337	(S)-Dihydroorotate
C15527	Precorrin 1
C21113	NMNH
C00011	CO2
C00052	UDP-alpha-D-galactose
C01051	Uroporphyrinogen III
C06010	(S)-2-Acetolactate
C00636	D-Mannose 1-phosphate
C21858	N-(4-Oxoglutaryl)-L-cysteinylglycine
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C03028	Thiamin triphosphate
C01352	FADH2
C01353	Carbonic acid
C01217	5,6,7,8-Tetrahydromethanopterin
C20850	N5-Hydroxy-L-ornithine
C00203	UDP-N-acetyl-D-galactosamine
C02739	1-(5-Phospho-D-ribosyl)-ATP
