C05300	16alpha-Hydroxyestrone
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C14826	12(13)-EpOME
C01228	Guanosine 3',5'-bis(diphosphate)
C00166	Phenylpyruvate
C00058	Formate
C00689	alpha,alpha'-Trehalose 6-phosphate
C14803	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
C05696	3'-Phosphoadenylylselenate
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C12739	5'-Deoxy-5-fluorouridine
C00673	2-Deoxy-D-ribose 5-phosphate
C00024	Acetyl-CoA
C02170	Methylmalonate
C05686	Adenylylselenate
C00085	D-Fructose 6-phosphate
C19577	1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol
C05651	5-Hydroxykynurenine
C01087	(R)-2-Hydroxyglutarate
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C14813	11H-14,15-EETA
C18243	2,3,5-Trichloromaleylacetate
C02291	L-Cystathionine
C04376	5'-Phosphoribosyl-N-formylglycinamide
C00048	Glyoxylate
C03082	4-Phospho-L-aspartate
C11174	1-Diphosinositol pentakisphosphate
C05640	Cinnavalininate
C03263	Coproporphyrinogen III
C05274	Decanoyl-CoA
C05141	Estriol
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate
C11148	TCE epoxide
C06103	6-Hydroxyhexanoic acid
C00624	N-Acetyl-L-glutamate
C00631	2-Phospho-D-glycerate
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C21750	5-Fluorodeoxyuridine diphosphate
C01188	3-Hydroxy-2-methylpropanoate
C01094	D-Fructose 1-phosphate
C00222	3-Oxopropanoate
C03242	Dihomo-gamma-linolenate
C21751	5-Fluorodeoxyuridine triphosphate
C00448	trans,trans-Farnesyl diphosphate
C05929	10-Formyltetrahydrofolylpolyglutamate
C00984	alpha-D-Galactose
C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
C14854	9-Hydroxybenzo[a]pyrene-4,5-oxide
C01724	Lanosterol
C00794	D-Sorbitol
C07648	Thioguanine
C00412	Stearoyl-CoA
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine
C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid
C20646	(3S)-2-Oxo-3-phenylbutanoate
C16502	Farnesoic acid
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C00900	2-Acetolactate
C05402	Melibiose
C05108	14-Demethyllanosterol
C01595	Linoleate
C00445	5,10-Methenyltetrahydrofolate
C01035	4-Guanidinobutanoate
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C00256	(R)-Lactate
C15782	Delta7-Avenasterol
C20227	(S)-Benzoin
C00055	CMP
C05635	5-Hydroxyindoleacetate
C07496	Carbamazepine-10,11-epoxide
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C01031	S-Formylglutathione
C00588	Choline phosphate
C17883	4-Vinylguaiacol
C00469	Ethanol
C03557	2-Aminoethylphosphonate
C00154	Palmitoyl-CoA
C00791	Creatinine
C00531	Itaconyl-CoA
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate
C02593	Tetradecanoyl-CoA
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C02944	3-cis-Dodecenoyl-CoA
C00712	(9Z)-Octadecenoic acid
C00302	Glutamate
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C01092	8-Amino-7-oxononanoate
C00118	D-Glyceraldehyde 3-phosphate
C01179	3-(4-Hydroxyphenyl)pyruvate
C15786	5alpha-Campestan-3-one
C02512	3-Cyano-L-alanine
C01250	N-Acetyl-L-glutamate 5-semialdehyde
C03451	(R)-S-Lactoylglutathione
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C00511	Acrylic acid
C00311	Isocitrate
C11526	5-PP-InsP5
C05946	(4R)-4-Hydroxy-2-oxoglutarate
C16677	all-trans-4-Hydroxyretinoic acid
C04242	5-Fluorodeoxyuridine monophosphate
C05580	3,4-Dihydroxymandelate
C00966	2-Dehydropantoate
C14870	2-Bromoacetaldehyde
C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide
C00327	L-Citrulline
C01962	Thiocysteine
C00108	Anthranilate
C00096	GDP-mannose
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C19604	7,12-Dimethylbenz[a]anthracene 5,6-oxide
C04752	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
C00330	Deoxyguanosine
C00232	Succinate semialdehyde
C01157	Hydroxyproline
C00460	dUTP
C02336	beta-D-Fructose
C00810	(R)-Acetoin
C00530	Hydroquinone
C00447	Sedoheptulose 1,7-bisphosphate
C04646	6-Thioinosine-5'-monophosphate
C05648	5-Hydroxy-N-formylkynurenine
C00279	D-Erythrose 4-phosphate
C19580	alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol
C00268	Dihydrobiopterin
C00491	L-Cystine
C03838	5'-Phosphoribosylglycinamide
C16218	(2E)-Octadecenoyl-CoA
C00105	UMP
C04805	5(S)-HETE
C01137	S-Adenosylmethioninamine
C07090	Protoanemonin
C14769	8,9-EET
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C05809	3-Octaprenyl-4-hydroxybenzoate
C18096	D-Allulose 6-phosphate
C00253	Nicotinate
C01134	Pantetheine 4'-phosphate
C18075	11beta,17beta-Dihydroxy-4-androsten-3-one
C00131	dATP
C17569	Ubiquinone-8
C03069	3-Methylcrotonyl-CoA
C00655	Xanthosine 5'-phosphate
C19563	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C05662	Homoisocitrate
C01177	Inositol 1-phosphate
C01262	beta-Alanyl-N(pi)-methyl-L-histidine
C00459	dTTP
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C00546	Methylglyoxal
C03284	L-3-Aminoisobutanoate
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C00568	4-Aminobenzoate
C16565	Aminopropylcadaverine
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C00334	4-Aminobutanoate
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C20690	1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
C14868	S-(1,2-Dichlorovinyl)glutathione
C20483	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C18902	Methylselenic acid
C00522	(R)-Pantoate
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C01832	Lauroyl-CoA
C01566	Cyanamide
C00627	Pyridoxine phosphate
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine
C06002	(S)-Methylmalonate semialdehyde
C02739	1-(5-Phospho-D-ribosyl)-ATP
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C03360	4-Nitrophenyl phosphate
C14825	9(10)-EpOME
C00418	(R)-Mevalonate
C01204	Phytic acid
C11583	4-Glutathionyl cyclophosphamide
C00944	3-Dehydroquinate
C01300	6-(Hydroxymethyl)-7,8-dihydropterin
C01051	Uroporphyrinogen III
C17568	Ubiquinone-6
C06124	Sphingosine 1-phosphate
C16634	5-Fluorouridine monophosphate
C00956	L-2-Aminoadipate
C07490	Trichloroethanol
C00018	Pyridoxal phosphate
C00137	myo-Inositol
C20904	2-Iminopropanoate
C00357	N-Acetyl-D-glucosamine 6-phosphate
C16476	4-Fluoromuconolactone
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C15776	4alpha-Methylfecosterol
C16335	OPC4-CoA
C16339	(+)-7-Isojasmonic acid CoA
C06427	(9Z,12Z,15Z)-Octadecatrienoic acid
C00251	Chorismate
C04856	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C00263	L-Homoserine
C01694	Ergosterol
C01185	Nicotinate D-ribonucleotide
C01164	7-Dehydrocholesterol
C01888	Aminoacetone
C20905	2-Iminobutanoate
C08276	3-(Methylthio)propanoate
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C19586	Aflatoxin B1-exo-8,9-epoxide
C15816	3-Keto-4-methylzymosterol
C02222	2-Maleylacetate
C18091	Ethylnitronate
C05698	Selenohomocysteine
C00468	Estrone
C03588	4,5alpha-Dihydrocortisone
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C05841	Nicotinate D-ribonucleoside
C00506	L-Cysteate
C00248	Lipoamide
C01107	(R)-5-Phosphomevalonate
C00114	Choline
C14863	2-(S-Glutathionyl)acetyl glutathione
C00141	3-Methyl-2-oxobutanoic acid
C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine
C00440	5-Methyltetrahydrofolate
C04489	5-Methyltetrahydropteroyltri-L-glutamate
C01909	Dethiobiotin
C06899	Chloral hydrate
C03044	(R,R)-Butane-2,3-diol
C19488	7,12-Dimethylbenz[a]anthracene
C00671	(S)-3-Methyl-2-oxopentanoic acid
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C04076	L-2-Aminoadipate 6-semialdehyde
C00379	Xylitol
C05647	Formyl-5-hydroxykynurenamine
C01345	dITP
C01672	Cadaverine
C00083	Malonyl-CoA
C04899	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C00134	Putrescine
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C05440	Ergosta-5,7,22,24(28)-tetraen-3beta-ol
C00668	alpha-D-Glucose 6-phosphate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C06001	(S)-3-Hydroxyisobutyrate
C00129	Isopentenyl diphosphate
C01181	4-Trimethylammoniobutanoate
C00441	L-Aspartate 4-semialdehyde
C00206	dADP
C03428	Presqualene diphosphate
C00020	AMP
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C07086	Phenylacetic acid
C01103	Orotidine 5'-phosphate
C16327	OPC8-CoA
C00800	L-Gulonate
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C00242	Guanine
C00438	N-Carbamoyl-L-aspartate
C13425	3-Hexaprenyl-4-hydroxybenzoate
C00463	Indole
C01172	beta-D-Glucose 6-phosphate
C03492	D-4'-Phosphopantothenate
C21016	Ophthalmate
C00652	D-Arabinono-1,4-lactone
C03917	Dihydrotestosterone
C01507	L-Iditol
C01100	L-Histidinol phosphate
C03406	N-(L-Arginino)succinate
C05691	Se-Adenosylselenomethionine
C16618	6-Thioxanthine 5'-monophosphate
C16551	Alcophosphamide
C03885	3-Nonaprenyl-4-hydroxybenzoate
C08830	24-Methylenecycloartanol
C18309	3-Chloro-2-methyldienelactone
C01079	Protoporphyrinogen IX
C05011	Hydroxytamoxifen
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C00130	IMP
C14089	1-Hydroxymethylnaphthalene
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C01005	O-Phospho-L-serine
C06790	Trichloroethene
C00112	CDP
C02380	6-Mercaptopurine
C00109	2-Oxobutanoate
C00245	Taurine
C11555	1D-myo-Inositol 1,4,5,6-tetrakisphosphate
C04453	4alpha-Methyl-5alpha-cholest-7-en-3-one
C14851	Benzo[a]pyrene-4,5-oxide
C00117	D-Ribose 5-phosphate
C02463	Precorrin 2
C05139	16alpha-Hydroxydehydroepiandrosterone
C00337	(S)-Dihydroorotate
C00603	(S)-Ureidoglycolate
C14792	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
C00705	dCDP
C00247	L-Sorbose
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C00804	Propynoate
C08492	3-Hexenol
C06425	Icosanoic acid
C05437	Zymosterol
C21284	Fe-coproporphyrin III
C16560	3-Hydroxylidocaine
C18170	3-Acetamidopropanal
C00354	D-Fructose 1,6-bisphosphate
C00669	gamma-L-Glutamyl-L-cysteine
C05815	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C16756	Aflatoxin M1
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
C02097	dTDP-galactose
C05584	3-Methoxy-4-hydroxymandelate
C00517	Hexadecanal
C03227	3-Hydroxy-L-kynurenine
C07535	Benzo[a]pyrene
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C05692	Se-Adenosyl-L-selenohomocysteine
C19559	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol
C19566	4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone
C16586	2-Phenyl-1,3-propanediol monocarbamate
C00487	Carnitine
C14802	1-Nitronaphthalene-7,8-oxide
C00542	Cystathionine
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C04537	N,N'-Diacetylchitobiosyldiphosphodolichol
C14859	Chloroacetyl chloride
C00254	Prephenate
C05778	Sirohydrochlorin
C00430	5-Aminolevulinate
C07645	Aldophosphamide
C00328	L-Kynurenine
C12834	2,5-Dichloro-carboxymethylenebut-2-en-4-olide
C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane
C00144	GMP
C05442	Stigmasterol
C02565	N-Methylhydantoin
C00836	Sphinganine
C00169	Carbamoyl phosphate
C00286	dGTP
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C00111	Glycerone phosphate
C15853	Dehydrospermidine
C16238	Lipoyl-AMP
C00606	3-Sulfino-L-alanine
C16591	3-Carbamoyl-2-phenylpropionic acid
C00074	Phosphoenolpyruvate
C11924	Perillic acid
C16477	5-Fluoromuconolactone
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C00329	D-Glucosamine
C00740	D-Serine
C00882	Dephospho-CoA
C06755	Chloroacetic acid
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C01346	dUDP
C05200	3-Hexaprenyl-4,5-dihydroxybenzoate
C15808	4alpha-Methylzymosterol-4-carboxylate
C05519	L-Allothreonine
C00870	4-Nitrophenol
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C16619	6-Thioguanosine monophosphate
C02934	3-Dehydrosphinganine
C05993	Acetyl adenylate
C01037	7,8-Diaminononanoate
C00307	CDP-choline
C05356	5(S)-HPETE
C01563	Carbamate
C01180	4-Methylthio-2-oxobutanoic acid
C14786	(1R,2S)-Naphthalene 1,2-oxide
C11150	Trichloroacetate
C05770	Coproporphyrin III
C05280	cis,cis-3,6-Dodecadienoyl-CoA
C03175	Shikimate 3-phosphate
C14770	11,12-EET
C00331	Indolepyruvate
C04006	1D-myo-Inositol 3-phosphate
C05512	Deoxyinosine
C05301	2-Hydroxyestradiol
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C15778	5,7,24(28)-Ergostatrienol
C00255	Riboflavin
C01102	O-Phospho-L-homoserine
C15605	N-Formyl-D-kynurenine
C02700	L-Formylkynurenine
C00143	5,10-Methylenetetrahydrofolate
C00249	Hexadecanoic acid
C14771	14,15-EET
C05527	3-Sulfinylpyruvate
C04144	Tetrahydropteroyltri-L-glutamate
C12214	Aminofructose 6-phosphate
C07083	Styrene
C14857	1,1-Dichloroethylene epoxide
