C18685	Landomycin E
C20125	Dibenzothiophene
C16163	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA
C18247	1,1-Dichloroethane
C02287	Hydroxymalonate
C05791	D-Urobilinogen
C02823	Cyanocobalamin
C21510	Nickel-sirohydrochlorin
C16709	O-Methylandrocymbine
C08641	Gentiodelphin
C07720	3-Hydroxy-1-indanone
C01934	L-Rhamnonate
C04209	3-(Carboxycarbonylamino)-L-alanine
C01623	UDP-apiose
C07723	4-Hydroxy-9-fluorenone
C05790	I-Urobilinogen
C21718	beta-Heptaprene
C03648	cis-3,4-Leucopelargonidin
C02079	Staurosporine
C07102	5-Chloro-1,2,4-trihydroxybenzene
C11506	(2R)-1,2-Epoxypropane
C21593	D-Erythronate
C15859	1'-Hydroxy-gamma-carotene
C18823	Landomycin B
C20449	5-Formyl-2-furoate
C12833	2,3,5-Trichloro-cis,cis-muconate
C01433	Loganin
C17749	Curcumin monoglucoside
C18250	4,5-Dihydroxypyrene
C11997	Narbonolide
C02825	Cypridina luciferin
C03506	Indoleglycerol phosphate
C15514	8'-Hydroxyabscisate
C18048	N-Succinyl-L-citrulline
C02509	3-(ADP)-glycerate
C02486	(3R)-beta-Leucine
C21748	5-Fluorouridine diphosphate
C11507	(S)-1,2-Epoxypropane
C06986	Spirodilactone
C19820	Protostadienol
C05556	delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine
C18824	Landomycin J
C01265	3,7-Di-O-methylquercetin
C16579	trans-Homoaconitate
C00521	(-)-Limonene
C03677	4,21-Dehydrogeissoschizine
C02821	Cortisol 21-acetate
C14092	cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene
C06582	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
C09099	Naringenin 7-O-beta-D-glucoside
C20411	3-Methyl-1,2-didehydro-2,3-dihydrosqualene
C02333	Xanthopterin-B2
C21725	Manoyl oxide
C21330	Aurachin C
C06644	1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene
C03160	2-Succinylbenzoyl-CoA
C16850	2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid
C11944	cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid
C19685	Sulfoacetyl-CoA
C21850	3-Bromo-4-hydroxybenzoate
C02938	3-Indoleacetonitrile
C17758	4,5-seco-Dopa
C20416	alpha-L-Rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol
C04067	Diethyl 2-methyl-3-oxosuccinate
C05300	16alpha-Hydroxyestrone
C08357	Estradiol-17beta 3-sulfate
C16496	3-Epiecdysone
C16509	14alpha-Hydroxy-5beta-cholest-7-ene-3,6-dione
C09639	alpha-Copaene
C06222	Sedoheptulose 1-phosphate
C04507	alpha-D-Galactosyl-diphosphoundecaprenol
C15614	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA
C02943	3-Oxoglycyrrhetinate
C21027	N-Acetylmuramic acid alpha-1-phosphate
C12384	Premithramycin A1
C12206	Caffeyl alcohol
C03738	gamma-L-Glutamyl-D-alanine
C15513	Benzyl acetate
C12638	Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)
C21396	Ethylenediaminetriacetic acid
C18317	2,4,5-Trihydroxytoluene
C05932	N-Succinyl-L-glutamate 5-semialdehyde
C01626	Vindoline
C00882	Dephospho-CoA
C20481	cis-Abienol
C14867	Dichloroacetyl chloride
C21912	7beta-Hydroxy-3-oxochol-4-en-24-oyl-CoA
C20514	Cyclo(L-leucyl-L-leucyl)
C05775	alpha-Ribazole
C08304	Gramine
C12405	100-1
C20799	Grixazone B
C19774	3-O-(6-O-alpha-D-Xylosylphospho-alpha-D-mannopyranosyl)-alpha-D-mannopyranose
C21204	5-epi-Valiolol 7-phosphate
C06337	Terephthalate
C08299	Bufotenine
C11695	Anandamide
C05989	3-Oxopropionyl-CoA
C03415	N2-Succinyl-L-ornithine
C00624	N-Acetyl-L-glutamate
C19893	10-epi-gamma-Eudesmol
C03575	2-Iodophenol methyl ether
C01156	Quercetin 3,4'-bissulfate
C17142	[Heparan sulfate]-N-sulfoglucosamine
C03519	N-Acetyl-L-phenylalanine
C16589	2-Oxosuberate
C20422	alpha-D-Ribose 1-methylphosphonate 5-triphosphate
C05316	Dihydromacarpine
C00286	dGTP
C18315	4-Methyl-5-nitrocatechol
C01186	(3S,5S)-3,5-Diaminohexanoate
C02977	GDP-6-deoxy-D-talose
C18032	dTDP-4-oxo-2,3,6-trideoxy-D-glucose
C19752	(S)-beta-Macrocarpene
C01678	Cysteamine
C20156	dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactopyranose
C09847	cis-Citral
C09902	(R)-(+)-alpha-Terpineol
C19721	5-Hydroxypyrrole-2-carboxylate
C18041	5alpha-Pregnan-20alpha-ol-3-one
C06188	Salicin 6-phosphate
C19489	1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene
C20415	dTDP-4-acetamido-4,6-dideoxy-alpha-D-galactose
C00541	Cob(II)alamin
C03248	Acetylenedicarboxylate
C04477	1D-myo-Inositol 1,3,4,6-tetrakisphosphate
C03455	11-cis-Retinyl palmitate
C19708	5-Epiaristolochene
C21665	(L-Cysteinylglycine-S-yl)(1H-indol-3-yl)acetonitrile
C21511	Nickel-sirohydrochlorin a,c-diamide
C04638	2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate
C00527	Glutaryl-CoA
C01043	N-Carbamoylsarcosine
C16447	Dihydrozeatin riboside
C08577	Bracteatin
C05954	Prostaglandin B2
C15878	Rhodovibrin
C03585	3-Chloro-cis,cis-muconate
C11810	Norajmaline
C09819	(Hydroxymethylphenyl)succinyl-CoA
C07204	Vincristine
C04208	N-Benzoyl-4-methoxyanthranilate
C16614	6-Methylmercaptopurine
C15932	4-Hydroxymyxol
C01292	3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
C00330	Deoxyguanosine
C00937	(R)-Lactaldehyde
C21729	(12E)-Labda-8(17),12,14-triene
C07047	Ifosfamide
C11641	3',4'-Anhydrovinblastine
C14803	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
C03584	3-(Uracil-1-yl)-L-alanine
C16671	3,6-Dihydronicotinic acid
C18063	C-13(2)-Carboxypyropheophorbide a
C11714	1-Naphthol
C00606	3-Sulfino-L-alanine
C12204	5-Hydroxyconiferaldehyde
C01295	2D-5-O-Methyl-2,3,5/4,6-pentahydroxycyclohexanone
C05620	N-Acetyl-D-phenylalanine
C12210	UDP-3-ketoglucose
C00818	D-Glucarate
C20177	7-epi-Sesquithujene
C16301	Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside
C19857	D-Man-beta-(1->4)-GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol
C06326	(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate
C04091	cis-1,2-Dihydrobenzene-1,2-diol
C16625	Isoniazid alpha-ketoglutaric acid
C00823	1-Hexadecanol
C16195	Glycitin
C01732	Mesaconate
C00565	Trimethylamine
C01745	Pinosylvin
C01477	Apigenin
C16400	2,4,6-Triaminotoluene
C11413	(1S,2S,4S)-Dihydrocarveol
C19856	D-Glc-beta-(1->4)-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol
C19878	D-glycero-alpha-D-manno-Heptose 7-phosphate
C21459	6-Hydroxyferuloyl-CoA
C21442	Phenazine-1-carboxylate
C07756	7-Aminocephalosporanic acid
C17943	Formylphosphonate
C00571	Cyclohexylamine
C04613	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose
C12440	Trachelanthamidine
C14812	12(R)-HPETE
C11976	Avermectin A2a
C16249	2-Bromomaleylacetate
C06311	Galactitol 1-phosphate
C11808	1,2-Dihydrovomilenine
C01297	6-Hydroxypseudooxynicotine
C05669	beta-Nitropropanoate
C11469	Calicheamicin gamma(1)I
C05264	(S)-Hydroxydecanoyl-CoA
C05258	(S)-3-Hydroxyhexadecanoyl-CoA
C20354	3-O-alpha-D-Glucopyranosyl-L-rhamnopyranose
C03767	4-Oxocyclohexanecarboxylate
C07721	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene
C00860	L-Histidinol
C16754	Aflatoxin G2
C20145	ent-Isokaurene
C19720	N6-(UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl)-D-lysine
C10287	Pterostilbene
C16398	2-Amino-4-nitrotoluene
C09707	Phaseic acid
C19418	cis-9,10-Epoxystearic acid
C17951	N-Acetylbialaphos
C11971	Avermectin B2a aglycone
C18224	Stemod-13(17)-ene
C20807	3-Hydroxy-L-phenylalanine
C18345	4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate
C14178	N-Phospholombricine
C08242	Lychnose
C20941	L-Anticapsin
C16613	6-Thiourate
C09421	Emetine
C01839	Orsellinate
C00332	Acetoacetyl-CoA
C20530	Paspaline
C00674	5alpha-Androstane-3,17-dione
C05460	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
C16246	3,5-Dibromo-4-hydroxybenzamide
C11855	Gibberellin A29-catabolite
C05425	3beta,5alpha,6beta-Cholestanetriol
C00940	2-Oxoglutaramate
C21175	Dihydrocaffeoyl-CoA
C20771	(+/-)-Pavine
C11959	Avermectin B2b
C04033	1,3,6,8-Naphthalenetetrol
C14144	5-Carboxy-2-pentenoyl-CoA
C06629	6-Methylpretetramide
C03338	2,3,5-Trihydroxytoluene
C15699	gamma-L-Glutamylputrescine
C07085	3-Vinylcatechol
C00270	N-Acetylneuraminate
C06593	epsilon-Caprolactam
C11132	2-Methoxyestrone 3-glucuronide
C00029	UDP-glucose
C18012	Flaviolin
C00090	Catechol
C05266	(S)-3-Hydroxyoctanoyl-CoA
C02949	4-Hydroxybenzoyl-CoA
C18020	p-Menth-8-ene-1,2-diol
C03325	(6S)-Hydroxyhyoscyamine
C01849	Rifamycin O
C20768	UDP-2-acetamido-2,6-dideoxy-beta-L-talose
C01243	1D-myo-Inositol 1,3,4-trisphosphate
C01298	1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol
C14102	cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene
C05855	4-Hydroxycinnamyl alcohol 4-D-glucoside
C01944	Octanoyl-CoA
C05998	3-Hydroxyisovaleryl-CoA
C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
C16489	Fructoselysine 6-phosphate
C00555	4-Aminobutyraldehyde
C03434	Tetrachlorohydroquinone
C12203	5-Hydroxyferuloyl-CoA
C14094	2-Carboxy-2-hydroxy-8-carboxychromene
C03604	D-Erythrulose 4-phosphate
C06352	4-O-Methyl-myo-inositol
C08426	Sinalbin
C21187	Tulipalin B
C05472	Urocortisol
C04039	2,3-Dihydroxy-3-methylbutanoate
C06649	cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane
C04006	1D-myo-Inositol 3-phosphate
C16707	(S)-Autumnaline
C08269	(-)-Betonicine
C20487	L-beta-Phenylalanine
C15970	Abscisic acid glucose ester
C11784	Echitovenine
C06989	delta-3,4,5,6-Tetrachlorocyclohexene
C16271	Rhodopinal glucoside
C02240	5-Valerolactone
C16229	(+)-Maackiain
C05589	L-Normetanephrine
C03012	Naphthalene-1,2-diol
C00302	Glutamate
C00645	N-Acetyl-D-mannosamine
C17962	Demethylphosphinothricin
C11812	Lochnerinine
C16620	6-Methylthioguanosine monophosphate
C16522	Icosatrienoic acid
C05260	(S)-3-Hydroxytetradecanoyl-CoA
C04649	Heparan sulfate N-acetyl-alpha-D-glucosaminide
C14843	4-Bromocatechol
C16500	20,26-Dihydroxyecdysone
C11895	Taxa-4(20),11(12)-dien-5alpha-ol
C05659	5-Methoxytryptamine
C17267	S-Sulfanylglutathione
C05588	L-Metanephrine
C00191	D-Glucuronate
C21169	N1,N8-Bis(4-coumaroyl)spermidine
C05165	2-Amino-5-oxocyclohex-1-enecarbonyl-CoA
C00364	dTMP
C02091	(S)-Ureidoglycine
C16630	5,6-Dihydro-5-fluorouracil
C00811	4-Coumarate
C05490	11-Dehydrocorticosterone
C17244	3-Methylthiopropyl-desulfoglucosinolate
C04874	7,8-Dihydroneopterin
C16562	Glutathionylspermine
C21004	Norspermine
C02807	Acenaphthenequinone
C01471	Acrolein
C00870	4-Nitrophenol
C12644	Pelargonidin 3-O-rutinoside
C06639	2,2-Bis(4'-chlorophenyl)ethanol
C21716	beta-Geranylfarnesene
C16290	Delphinidin 3-O-3'',6''-O-dimalonylglucoside
C12096	Cyanidin 3-O-(6-O-p-coumaroyl)glucoside-5-O-glucoside
C20399	Pentalenolactone D
C05830	8-Methoxykynurenate
C20137	N-Demethyl-desepoxyansamitocin P-3
C14100	4-Formylsalicylic acid
C00561	Mandelonitrile
C11957	Avermectin B2b monosaccharide
C05565	Hydantoin-5-propionate
C16324	9,10-EOT
C14725	27-O-Demethyl-25-O-desacetylrifamycin SV
C11901	Copalyl diphosphate
C16353	7-Methylxanthine
C18013	3,3'-Biflaviolin
C03198	(S)-4-Hydroxymandelate
C11963	Avermectin B1b aglycone
C08334	Lotaustralin
C18027	(4R,7S)-7-Isopropyl-4-methyloxepan-2-one
C11675	16-Methoxytabersonine
C12407	104-2
C20398	Pentalenolactone E
C21601	3-(Aminomethyl)indole
C20696	13-Apo-beta-carotenone
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate
C17733	7-Oxateasterone
C02997	N-Acetyl-L-histidine
C01346	dUDP
C05178	(R)-Reticuline
C16415	5-Deoxyleucopelargonidin
C18638	Aclacinomycin A
C06025	KDO2-lipid IVA
C21914	Dihydroferuloyl-CoA
C19770	N-Acetyl-beta-muramate 6-phosphate
C05905	Cyanidin
C21878	Pyridinium-3-carboxy-5-thiocarboxylic acid mononucleotide
C18285	Benzo[a]pyrene-trans-11,12-dihydrodiol
C09629	beta-Caryophyllene
C04170	13-(2-Methylcrotonoyl)oxylupanine
C14106	2-Hydroxy-7-hydroxymethylchromene-2-carboxylate
C02657	6-Methylsalicylate
C21429	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
C09265	Fraxetin
C13623	Monobromobisphenol A
C20436	Fumigaclavine A
C20748	(E)-4-(Trimethylammonio)but-2-enoyl-CoA
C16411	4,4',6,6'-Tetranitro-2,2'-azoxytoluene
C16224	Medicarpin 3-O-glucoside-6'-malonate
C01091	Deacetylvindoline
C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA
C03993	4-(beta-D-Glucosyloxy)benzoate
C01727	Lumichrome
C17228	2-Oxo-9-methylthiononanoic acid
C21460	(3-Hydroxy-4-methylanthranilyl)adenylate
C01249	7,8-Dihydro-7,8-dihydroxykynurenate
C05378	beta-D-Fructose 1,6-bisphosphate
C14105	1,2-Dihydroxy-7-hydroxymethylnaphthalene
C14826	12(13)-EpOME
C16407	2',4,4',6'-Tetrahydroxychalcone 4'-O-glucoside
C20163	5-epi-alpha-Selinene
C07734	2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate
C01231	alpha-D-Glucose 1,6-bisphosphate
C20853	Monacolin L acid
C00469	Ethanol
C04017	N-Acetyl-9-O-acetylneuraminate
C17210	2-(2'-Methylthio)ethylmalic acid
C18222	Isopimaradienal
C19749	(E)-alpha-Bisabolene
C21348	dTDP-4-hydroxyamino-4,6-dideoxy-alpha-D-glucose
C21720	9,13-Epoxylabda-14-ene
C18158	17-Oxosparteine
C03428	Presqualene diphosphate
C02485	(-)-Isopiperitenone
C14104	cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene
C03263	Coproporphyrinogen III
C15778	5,7,24(28)-Ergostatrienol
C05453	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
C05956	Prostaglandin G2
C21159	2,4-Dinitroanisole
C16737	5-Deoxy-D-glucuronate
C06551	Atrazine
C06614	trans-3-Chloroacrylic acid
C16210	4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid
C00468	Estrone
C02809	Albendazole S-oxide
C04758	(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate
C16930	Chavicol
C03204	10-Formyldihydrofolate
C20345	Isopentenyl phosphate
C07097	2,6-Dichlorohydroquinone
C20161	alpha-Guaiene
C02822	Cortisol 21-sulfate
C05999	Lactaldehyde
C20396	Methylphosphonate
C06717	Mycothiol
C21747	N-Acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine
C03733	UDP-alpha-D-galactofuranose
C01546	2-Furoate
C15782	Delta7-Avenasterol
C04210	N5-(L-1-Carboxyethyl)-L-ornithine
C05239	5-Aminoimidazole
C18076	5'-Phosphoguanylyl(3'->5')guanosine
C15522	4a-Hydroxytetrahydrobiopterin
C14314	4',6,7-Trihydroxyisoflavone
C20870	3-(Methylthio)propanoyl-CoA
C11850	Divinylchlorophyll a
C14865	2-(S-Glutathionyl)acetyl chloride
C05678	(2-Amino-1-hydroxyethyl)phosphonate
C13626	5-Hydroxybisphenol A
C03373	Aminoimidazole ribotide
C04661	3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate
C20253	Aminoacrylate
C17220	2-Oxo-7-methylthioheptanoic acid
C09806	Neohesperidin
C02488	(R)-2-Ethylmalate
C16666	Vanillylamine
C21413	(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate
C21897	Dihydrochanoclavine-I aldehyde
C04773	3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate
C16714	Kreysigine
C11998	Narbomycin
C11676	Lochnericine
C13625	4-Methyl-2,4-bis-(p-hydroxyphenyl)pent-1-ene
C19973	(+)-beta-Caryophyllene
C04625	2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate
C01205	(R)-3-Amino-2-methylpropanoate
C05465	Taurochenodeoxycholate
C19783	(S)-Piperazine-2-carboxylate
C16319	Etherolenic acid
C06366	sym-Homospermidine
C21403	2-Acetamidoethylphosphonate
C11519	N-Cyclohexylformamide
C05901	Piceatannol
C17947	2-Phosphinomethylmalate
C12380	Tetracenomycin X
C22070	2,4-Dihydroxycinnamoyl-CoA
C20464	Isochavicol
C06111	Nerolidyl diphosphate
C12000	Tylactone
C11858	Gibberellin A14
C15666	(7R)-7-(4-Carboxybutanamido)cephalosporanate
C04667	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)
C05571	Thiourocanic acid
C01726	D-Lombricine
C11958	Avermectin A2b monosaccharide
C02991	L-Rhamnono-1,4-lactone
C19830	(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate
C03474	4-Nitroquinoline N-oxide
C16449	cis-Zeatin riboside
C09699	Longifolene
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C18064	Pyropheophorbide a
C05133	4-Imidazolone-5-acetate
C04037	1-Phospho-alpha-D-galacturonate
C12001	5-O-beta-D-Mycaminosyltylactone
C16755	Aflatoxin G1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol
C01210	N-Methylethanolamine phosphate
C15538	10-Desacetyltaxuyunnanin C
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C02372	4-Hydroxyaniline
C20634	O-Methyl anthranilate
C15882	2-Methyl-6-phytylquinol
C05307	Chlorophyll b
C05828	Methylimidazoleacetic acid
C01951	Piperitenone
C21269	Antibiotic JI-20Ba
C06646	2-(4'-Chlorophenyl)-3,3-dichloropropenoate
C02565	N-Methylhydantoin
C07718	2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid
C00813	Barbiturate
C00532	L-Arabitol
C16230	(+)-6a-Hydroxymaackiain
C20351	2'-Deamino-2'-hydroxy-6'-dehydroparomamine
C04530	4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol
C20469	Cyanidin 3,7-di-O-beta-D-glucoside
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA
C11383	(+)-(S)-Carvone
C12314	1-Oxa-2-oxo-3-hydroxycycloheptane
C00313	Oxalyl-CoA
C12144	Phytosphingosine
C14871	S-(Formylmethyl)glutathione
C14556	9-Hydroxybenzo[a]pyrene
C07294	Methylarsonate
C20692	9-cis-10'-Apo-beta-carotenal
C02787	2-Methylpropanamine
C11393	(-)-alpha-Terpineol
C16545	Tamoxifen N-oxide
C07308	Cacodylate
C06625	Malonamoyl-CoA
C01008	Trimethylsulfonium
C21441	Bacteriochlorophyllide g
C06564	Penicillin N
C19699	Dichloroarcyriaflavin A
C01152	N(pi)-Methyl-L-histidine
C12322	dTDP-L-vancosamine
C00312	L-Xylulose
C02777	2,5-Dioxopiperazine
C05375	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate
C02338	beta-L-Rhamnose
C20654	3-Benzylmalic acid
C01075	N-Sulfo-D-glucosamine
C03826	2-Dehydro-3-deoxy-D-xylonate
C18039	Aldosterone hemiacetal
C11457	3-(3-Hydroxyphenyl)propanoic acid
C01162	3-(Pyrazol-1-yl)-L-alanine
C15038	Oxidized Oplophorus luciferin
C08614	Violaxanthin
C06761	(4E)-2-Oxohexenoic acid
C10098	Kaempferide
C20535	beta-PC-M6
C01853	Stipitatate
C01291	3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA
C03910	(24R,24(1)R)-Fucosterol epoxide
C00634	Chondroitin 4-sulfate
C06711	Fluoren-9-ol
C00568	4-Aminobenzoate
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C04670	(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate
C19939	Pentalen-13-al
C07094	3,6-Dichlorocatechol
C00252	Isomaltose
C12631	2-Hydroxy-2,3-dihydrogenistein
C00279	D-Erythrose 4-phosphate
C03298	Nalpha-Methylhistidine
C20466	2,3-Bis-O-(geranylgeranyl)-sn-glycero-1-phospho-L-serine
C16218	(2E)-Octadecenoyl-CoA
C00310	D-Xylulose
C03058	2-Hydroxyglutaryl-CoA
C08578	Butein
C00611	N-Acetyllactosamine
C21295	5-Methylphenazine-1-carboxylate
C12668	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside
C18028	L-Fucono-1,5-lactone
C12180	(-)-8-Demethylmaritidine
C20629	8-Demethylnovobiocic acid
C06626	4-Ketoanhydrochlortetracycline
C05385	D-Glucuronate 1-phosphate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C02526	Biphenyl-2,3-diol
C01060	3,5-Diiodo-L-tyrosine
C04695	5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
C00253	Nicotinate
C20586	Terpendole G
C07123	2-Hydroxy-6-oxo-octa-2,4-dienoate
C01487	D-Allose
C04722	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
C06067	Dimethylallyltryptophan
C05778	Sirohydrochlorin
C20228	(R)-Benzoin
C21267	6'-Oxogentamicin X2
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C00133	D-Alanine
C15926	beta-L-Galactose 1-phosphate
C00628	2,5-Dihydroxybenzoate
C02471	[Glu(-Cys)]n-Gly
C00909	Leukotriene A4
C21127	Holyrine A
C16323	3,6-Nonadienal
C02505	2-Phenylacetamide
C19840	4,4'-Diapophytofluene
C04720	DIMBOA
C15905	Hydroxyspheroidenone
C00652	D-Arabinono-1,4-lactone
C02457	Propane-1,3-diol
C06620	dTDP-3,4-dioxo-2,6-dideoxy-D-glucose
C00522	(R)-Pantoate
C00250	Pyridoxal
C12424	Aklavinone
C14820	11(R)-HPETE
C00099	beta-Alanine
C01081	Thiamin monophosphate
C07138	5-Aminosalicylate
C17580	2-Deoxy-scyllo-inosamine
C15911	Hydroxychlorobactene
C18267	Pyrene-1,2-oxide
C12391	Kinobscurinone
C17692	2-epi-5-epi-Valiolone 7-phosphate
C01069	Desulfoglucotropeolin
C08312	Psilocin
C03205	11-Deoxycorticosterone
C16142	(-)-Germacrene D
C12634	Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
C01751	Resorcinol
C11783	Minovincinine
C08540	Betanin
C16598	(R)-(Homo)3-citrate
C00251	Chorismate
C01894	Biotinyl-CoA
C00275	D-Mannose 6-phosphate
C00601	Phenylacetaldehyde
C03221	2-trans-Dodecenoyl-CoA
C20919	Isotabtoxin
C20242	(-)-Sabinene
C02356	(S)-2-Aminobutanoate
C00314	Pyridoxine
C20603	(3S)-3-Hydroxy-L-enduracididine
C01026	N,N-Dimethylglycine
C06675	3-Sulfomuconate
C06165	Macarpine
C20380	Mycophenolate
C11634	Vellosimine
C00256	(R)-Lactate
C11973	Avermectin B2a monosaccharide
C04353	(Z)-4-Hydroxyphenylacetaldehyde oxime
C00112	CDP
C16547	Endoxifen
C21782	Mogrol
C00245	Taurine
C00904	Citramalyl-CoA
C12406	Urdamycin B
C18904	Methylselenopyruvate
C06075	Terpinolene
C04724	D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid
C01768	(Alginate)n
C20587	Paspaline B
C06571	Chlortetracycline
C03098	Benzyl isothiocyanate
C20181	Avermitilol
C16464	Citronellyl-CoA
C16563	Bis(glutathionyl)spermine
C00341	Geranyl diphosphate
C20917	Tabtoxin
C00319	Sphingosine
C16490	Kaempferol 3-O-beta-D-glucosylgalactoside
C06087	Abietate
