C16579	trans-Homoaconitate
C00301	ADP-ribose
C00302	Glutamate
C20969	Carboxyphosphate
C11993	10-Deoxymethynolide
C11405	(3R)-3-Isopropenyl-6-oxoheptanoate
C20617	beta-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C11997	Narbonolide
C00309	D-Ribulose
C20612	GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose
C20961	N3-Fumaroyl-L-2,3-diaminopropanoate
C17349	Guanidine
C15672	Heme O
C15670	Heme A
C21563	2-(Glutathione-S-yl)-hydroquinone
C09699	Longifolene
C04443	3-O-Methylquercetin
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
C01127	4-Hydroxy-2-oxoglutarate
C01126	(2E,6E)-Farnesol
C04444	3,7,4'-Tri-O-methylquercetin
C05147	trans-3-Hydroxy-L-proline
C00566	(3S)-Citryl-CoA
C00652	D-Arabinono-1,4-lactone
C20619	beta-D-Glc-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C16503	Methyl farnesoate
C16502	Farnesoic acid
C15700	gamma-Glutamyl-gamma-aminobutyraldehyde
C06473	2-Keto-D-gluconic acid
C04536	Magnesium protoporphyrin monomethyl ester
C01015	cis-4-Hydroxy-L-proline
C04534	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose
C01013	3-Hydroxypropanoate
C20145	ent-Isokaurene
C01011	(3S)-Citramalyl-CoA
C21491	(S)-Tembetarine
C01019	6-Deoxy-L-galactose
C04847	alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine
C20545	Terpendole J
C21369	N-(2-Methylpropanyl)hydroxylamine
C20542	13-Desoxyterpendole I
C20811	(-)-exo-alpha-Bergamotene
C20613	GDP-beta-L-colitose
C20548	Lolitriol
C21631	(S)-Tetrahydropapaverine
C21630	(S)-Norlaudanine
C01788	CDP-abequose
C21384	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate
C21383	2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C04030	(2,3-Dihydroxybenzoyl)adenylate
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C02470	Xanthurenic acid
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
C05315	Palmatine
C02477	alpha-Tocopherol
C06510	Adenosine-GDP-cobinamide
C01494	Ferulate
C06517	(S)-6-O-Methylnorlaudanosoline
C01879	5-Oxoproline
C19703	1-O-[2-(L-Cysteinamido)-2-deoxy-alpha-D-glucopyranosyl]-1D-myo-inositol
C19706	cis-3-Hydroxy-L-proline
C19708	5-Epiaristolochene
C01877	4-Oxoproline
C20462	5,7-Dihydroxy-2-methyl-4H-chromen-4-one
C03659	D-Bornesitol
C02787	2-Methylpropanamine
C03657	1,4-Dihydroxy-2-naphthoate
C15853	Dehydrospermidine
C21030	(R)-Methylmalonate semialdehyde
C06161	(S)-Coclaurine
C06201	2,4-Dihydroxyhept-2-enedioate
C06207	2,6-Dihydroxyphenylacetate
C01274	5-Formyl-5,6,7,8-tetrahydromethanopterin
C19830	(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate
C19831	(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate
C19834	Dammara-20,24-diene
C19836	Halima-5(6),13-dien-15-yl diphosphate
C17756	2-Descarboxy-cyclo-dopa
C17755	Dopamine quinone
C17754	3-Methoxytyramine-betaxanthin
C17753	Dopaxanthin quinone
C17752	cyclo-Dopa-glucuronylglucoside
C17751	cyclo-Dopa 5-O-glucoside
C17750	Curcumin diglucoside
C04287	3D-3,5/4-Trihydroxycyclohexane-1,2-dione
C17759	1-O-Feruloyl-beta-D-glucose
C17758	4,5-seco-Dopa
C06377	D-Galactosamine 6-phosphate
C06372	Lacto-N-biose
C02097	dTDP-galactose
C05515	5-Ureido-4-imidazole carboxylate
C02090	Trypanothione
C02091	(S)-Ureidoglycine
C02657	6-Methylsalicylate
C02306	Phosphoramidate
C02876	Propanoyl phosphate
C02305	Phosphocreatine
C03785	D-Tagatose 1,6-bisphosphate
C04209	3-(Carboxycarbonylamino)-L-alanine
C20861	Mannobiose
C02895	Xylitol 5-phosphate
C02892	Thiamine acetic acid
C02890	Tetrahydropalmatine
C02480	cis,cis-Muconate
C06153	scyllo-Inositol
C18154	3-Hydroxyethylchlorophyllide a
C03431	S-Inosyl-L-homocysteine
C22048	4-O-Methylxanthohumol
C06156	alpha-D-Glucosamine 1-phosphate
C03434	Tetrachlorohydroquinone
C08481	Indican
C18157	8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d
C18151	7(1)-Hydroxychlorophyll a
C16242	Cobalt-precorrin 5A
C16243	Cobalt-precorrin 5B
C16244	Cobalt-precorrin 7
C16249	2-Bromomaleylacetate
C04330	5,10-Methenyltetrahydromethanopterin
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C14819	Fe3+
C14818	Fe2+
C07331	Carbonyl sulfide
C00533	Nitric oxide
C00532	L-Arabitol
C00827	Lactoyl-CoA
C00530	Hydroquinone
C00820	D-Threonine
C00822	Dopaquinone
C18911	(R)-4-Phosphopantoate
C06791	trans-1,2-Dichloroethene
C12092	N-Methylanthraniloyl-CoA
C06793	Vinyl chloride
C06792	cis-1,2-Dichloroethene
C14860	2,2-Dichloro-1,1-ethanediol
C05797	Pheophytin a
C07447	Acetylhydrazine
C05852	2-Hydroxyphenylacetate
C00795	D-Tagatose
C00794	D-Sorbitol
