C00032	Heme
C00134	Putrescine
C05984	2-Hydroxybutanoic acid
C01346	dUDP
C00154	Palmitoyl-CoA
C19574	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol
C00583	Propane-1,2-diol
C01345	dITP
C01829	Thyroxine
C00847	4-Pyridoxate
C14857	1,1-Dichloroethylene epoxide
C14770	11,12-EET
C00085	D-Fructose 6-phosphate
C00544	Homogentisate
C00159	D-Mannose
C16613	6-Thiourate
C15808	4alpha-Methylzymosterol-4-carboxylate
C05576	3,4-Dihydroxyphenylethyleneglycol
C16167	(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA
C14826	12(13)-EpOME
C00446	alpha-D-Galactose 1-phosphate
C04384	Heparan sulfate alpha-D-glucosaminide
C00978	N-Acetylserotonin
C02350	(S)-Allantoin
C00180	Benzoate
C00286	dGTP
C11735	N-Ethylglycine
C19607	trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene
C01953	Pregnenolone
C04654	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate
C07446	Isonicotinic acid
C04489	5-Methyltetrahydropteroyltri-L-glutamate
C00473	Retinol
C01188	3-Hydroxy-2-methylpropanoate
C05635	5-Hydroxyindoleacetate
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C16339	(+)-7-Isojasmonic acid CoA
C00637	Indole-3-acetaldehyde
C02222	2-Maleylacetate
C13747	1,7-Dimethylxanthine
C02642	3-Ureidopropionate
C03242	Dihomo-gamma-linolenate
C17345	(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C00190	UDP-D-xylose
C01159	2,3-Bisphospho-D-glycerate
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C21384	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate
C04073	Heparosan-N-sulfate L-iduronate
C16468	(2E)-5-Methylhexa-2,4-dienoyl-CoA
C00270	N-Acetylneuraminate
C07090	Protoanemonin
C18040	5alpha-Dihydrodeoxycorticosterone
C01060	3,5-Diiodo-L-tyrosine
C16337	3-Hydroxy-OPC4-CoA
C00705	dCDP
C16388	(3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenoyl-CoA
C05466	Glycochenodeoxycholate
C16469	3-Hydroxy-5-methylhex-4-enoyl-CoA
C02373	4-Methylpentanal
C05139	16alpha-Hydroxydehydroepiandrosterone
C02351	o-Benzoquinone
C11135	Androsterone glucuronide
C05579	Indole-5,6-quinone
C02336	beta-D-Fructose
C16610	Citalopram propionic acid
C02097	dTDP-galactose
C05258	(S)-3-Hydroxyhexadecanoyl-CoA
C15520	Cholest-5-ene-3beta,7alpha,25-triol
C19606	NNAL-N-glucuronide
C11526	5-PP-InsP5
C04649	Heparan sulfate N-acetyl-alpha-D-glucosaminide
C20483	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C02528	Chenodeoxycholate
C00091	Succinyl-CoA
C06604	Parathion
C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
C05647	Formyl-5-hydroxykynurenamine
C11148	TCE epoxide
C05691	Se-Adenosylselenomethionine
C11133	Estrone glucuronide
C00668	alpha-D-Glucose 6-phosphate
C20380	Mycophenolate
C14851	Benzo[a]pyrene-4,5-oxide
C11136	Etiocholan-3alpha-ol-17-one 3-glucuronide
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C07118	Benzoylacetyl-CoA
C00256	(R)-Lactate
C14813	11H-14,15-EETA
C00475	Cytidine
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate
C05841	Nicotinate D-ribonucleoside
C02593	Tetradecanoyl-CoA
C00035	GDP
C00120	Biotin
C05823	3-Mercaptolactate
C11132	2-Methoxyestrone 3-glucuronide
C05827	Methylimidazole acetaldehyde
C04741	Alprostadil
C00249	Hexadecanoic acid
C00459	dTTP
C01068	D-Ribitol 5-phosphate
C05378	beta-D-Fructose 1,6-bisphosphate
C01127	4-Hydroxy-2-oxoglutarate
C13051	Nicotinic acid adenine dinucleotide phosphate
C05394	3-Keto-beta-D-galactose
C03455	11-cis-Retinyl palmitate
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide
C04242	5-Fluorodeoxyuridine monophosphate
C03557	2-Aminoethylphosphonate
C00588	Choline phosphate
C00445	5,10-Methenyltetrahydrofolate
C05565	Hydantoin-5-propionate
C19489	1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene
C16420	4-Acetamido-2-amino-6-nitrotoluene
C19563	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
C00794	D-Sorbitol
C00439	N-Formimino-L-glutamate
C00117	D-Ribose 5-phosphate
C00341	Geranyl diphosphate
C00632	3-Hydroxyanthranilate
C04409	2-Amino-3-carboxymuconate semialdehyde
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C05473	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al
C01061	4-Fumarylacetoacetate
C01921	Glycocholate
C05504	16-Glucuronide-estriol
C04016	N-Acetyl-7-O-acetylneuraminate
C01051	Uroporphyrinogen III
C00469	Ethanol
C07295	Methanearsonous acid
C00647	Pyridoxamine phosphate
C06124	Sphingosine 1-phosphate
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C03012	Naphthalene-1,2-diol
C05696	3'-Phosphoadenylylselenate
C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate
C11088	1,2-Dibromoethane
C00164	Acetoacetate
C19594	Aflatoxin-M1-8,9-epoxide
C01161	3,4-Dihydroxyphenylacetate
C00881	Deoxycytidine
C16631	alpha-Fluoro-beta-ureidopropionic acid
C00818	D-Glucarate
C00268	Dihydrobiopterin
C03588	4,5alpha-Dihydrocortisone
C16630	5,6-Dihydro-5-fluorouracil
C00327	L-Citrulline
C00108	Anthranilate
C05270	Hexanoyl-CoA
C00519	Hypotaurine
C12270	N-Acetylaspartylglutamate
C06868	Carbamazepine
C18304	2-Chloro-5-methyl-cis-dienelactone
C14863	2-(S-Glutathionyl)acetyl glutathione
C00438	N-Carbamoyl-L-aspartate
C05648	5-Hydroxy-N-formylkynurenine
C00106	Uracil
C00232	Succinate semialdehyde
C05130	Imidazole-4-acetaldehyde
C01236	D-Glucono-1,5-lactone 6-phosphate
C04185	5,6-Dihydroxyindole-2-carboxylate
C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine
C04671	(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate
C01179	3-(4-Hydroxyphenyl)pyruvate
C20695	all-trans-10'-Apo-beta-carotenal
C12215	Iminoerythrose 4-phosphate
C03680	4-Imidazolone-5-propanoate
C02050	Linoleoyl-CoA
C11131	2-Methoxy-estradiol-17beta 3-glucuronide
C00295	Orotate
C05141	Estriol
C01312	Prostaglandin I2
C05698	Selenohomocysteine
C05686	Adenylylselenate
C01516	Morphine
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C04145	all-trans-Nonaprenyl diphosphate
C09332	THF-L-glutamate
C01672	Cadaverine
C17335	3beta,7alpha-Dihydroxy-5-cholestenoate
C00762	Cortisone
C00634	Chondroitin 4-sulfate
C06459	N-Trimethyl-2-aminoethylphosphonate
C11555	1D-myo-Inositol 1,4,5,6-tetrakisphosphate
C04537	N,N'-Diacetylchitobiosyldiphosphodolichol
C20622	beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C01832	Lauroyl-CoA
C00669	gamma-L-Glutamyl-L-cysteine
C00275	D-Mannose 6-phosphate
C16612	Citalopram aldehyde
C00179	Agmatine
C06196	2'-Deoxyinosine 5'-phosphate
C16633	5-Fluorouridine
C01134	Pantetheine 4'-phosphate
C00877	Crotonoyl-CoA
C01172	beta-D-Glucose 6-phosphate
C14768	5,6-EET
C10974	4-Methylaminobutanal
C00844	Prunasin
C16365	5-Acetylamino-6-formylamino-3-methyluracil
C05271	trans-Hex-2-enoyl-CoA
C16331	OPC6-CoA
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C00015	UDP
C19968	8-Oxo-dGMP
C02763	2-Hydroxy-3-phenylpropenoate
C05276	trans-Oct-2-enoyl-CoA
C00376	Retinal
C06427	(9Z,12Z,15Z)-Octadecatrienoic acid
C05264	(S)-Hydroxydecanoyl-CoA
C05422	Dehydroascorbate
C16634	5-Fluorouridine monophosphate
C20905	2-Iminobutanoate
C00882	Dephospho-CoA
C00199	D-Ribulose 5-phosphate
C06055	O-Phospho-4-hydroxy-L-threonine
C05448	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA
C03221	2-trans-Dodecenoyl-CoA
C18237	Molybdoenzyme molybdenum cofactor
C18243	2,3,5-Trichloromaleylacetate
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C02946	4-Acetamidobutanoate
C01013	3-Hydroxypropanoate
C18872	Trimethylselenonium
C16360	3,7-Dimethyluric acid
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C03594	7alpha-Hydroxycholesterol
C00364	dTMP
C00884	Homocarnosine
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C07490	Trichloroethanol
C05284	11beta-Hydroxyandrost-4-ene-3,17-dione
C14859	Chloroacetyl chloride
C00954	Indole-3-acetate
C03742	(S)-4-Hydroxymandelonitrile
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C06606	Paraoxon
C05640	Cinnavalininate
C02953	7,8-Dihydrobiopterin
C03838	5'-Phosphoribosylglycinamide
C03410	N-Glycoloyl-neuraminate
C02380	6-Mercaptopurine
C00401	Chondroitin
C03150	Nicotinamide-beta-riboside
C06001	(S)-3-Hydroxyisobutyrate
C01213	(R)-Methylmalonyl-CoA
C06612	cis-3-Chloro-2-propene-1-ol
C00255	Riboflavin
C05577	3,4-Dihydroxymandelaldehyde
C05447	(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA
C05446	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
C00166	Phenylpyruvate
C01490	Dermatan
C00212	Adenosine
C03231	3-Methylglutaconyl-CoA
C03232	3-Phosphonooxypyruvate
C12248	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
C02990	L-Palmitoylcarnitine
C19970	2-Hydroxy-dAMP
C21028	(R)-5,6-Dihydrothymine
C00455	Nicotinamide D-ribonucleotide
C07648	Thioguanine
C00822	Dopaquinone
C14145	(3S)-3-Hydroxyadipyl-CoA
C00909	Leukotriene A4
C14849	Benzo[a]pyrene-9,10-oxide
C15777	Episterol
C00178	Thymine
C03845	5alpha-Cholest-8-en-3beta-ol
C16014	cis-Stilbene oxide
C00131	dATP
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C05399	Melibiitol
C00020	AMP
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C00239	dCMP
C01697	Galactitol
C05501	20alpha,22beta-Dihydroxycholesterol
C05266	(S)-3-Hydroxyoctanoyl-CoA
C01094	D-Fructose 1-phosphate
C01103	Orotidine 5'-phosphate
C06614	trans-3-Chloroacrylic acid
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile
C05280	cis,cis-3,6-Dodecadienoyl-CoA
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA
C00940	2-Oxoglutaramate
C11583	4-Glutathionyl cyclophosphamide
C21284	Fe-coproporphyrin III
C11553	[Heparan sulfate]-glucosamine 3-sulfate
C01107	(R)-5-Phosphomevalonate
C19585	Aflatoxin Q1
C17337	7alpha-Hydroxy-3-oxo-4-cholestenoate
C05382	Sedoheptulose 7-phosphate
C00018	Pyridoxal phosphate
C18239	Precursor Z
C16682	9-cis-Retinol
C01673	Calcitriol
C00247	L-Sorbose
C01024	Hydroxymethylbilane
C14089	1-Hydroxymethylnaphthalene
C05703	Methaneselenol
C00349	2-Methyl-3-oxopropanoate
C03366	5-Phosphooxy-L-lysine
C14040	1-Nitronaphthalene
C03289	L-xylo-Hexulonolactone
C07646	Carboxyphosphamide
C01089	(R)-3-Hydroxybutanoate
C18026	(2S)-Ethylmalonyl-CoA
C00506	L-Cysteate
C01563	Carbamate
C11736	5-Fluorodeoxyuridine
C14864	S-(2-Chloroacetyl)glutathione
C21777	4-Hydroxy-L-tryptophan
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane
C01152	N(pi)-Methyl-L-histidine
C00642	4-Hydroxyphenylacetate
C05011	Hydroxytamoxifen
C02962	D-Allose 6-phosphate
C05924	Molybdopterin
C16834	1-Pentanol
C05337	Chenodeoxycholoyl-CoA
C13050	Cyclic ADP-ribose
C00314	Pyridoxine
C05809	3-Octaprenyl-4-hydroxybenzoate
C01228	Guanosine 3',5'-bis(diphosphate)
C03406	N-(L-Arginino)succinate
C03091	5beta-Cholestan-3-one
C01096	Sorbitol 6-phosphate
C07108	Tamoxifen
C00788	L-Adrenaline
C05268	(S)-Hydroxyhexanoyl-CoA
C00198	D-Glucono-1,5-lactone
C00072	Ascorbate
C16165	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA
C05471	11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione
C07649	5-FU
C05860	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol
C05580	3,4-Dihydroxymandelate
C03824	2-Aminomuconate semialdehyde
C05300	16alpha-Hydroxyestrone
C00561	Mandelonitrile
C02170	Methylmalonate
C05293	5beta-Dihydrotestosterone
C00334	4-Aminobutanoate
C00137	myo-Inositol
C16476	4-Fluoromuconolactone
C16466	7-Methyl-3-oxo-6-octenoyl-CoA
C04376	5'-Phosphoribosyl-N-formylglycinamide
C00387	Guanosine
C00378	Thiamine
C12455	5-Aminopentanal
C00140	N-Acetyl-D-glucosamine
C06123	Hexadecenal
C00603	(S)-Ureidoglycolate
C16741	L-Hydroxylysine
C07712	Secalciferol
C16477	5-Fluoromuconolactone
C11695	Anandamide
C03765	4-Hydroxyphenylacetaldehyde
C05301	2-Hydroxyestradiol
C06790	Trichloroethene
C21775	1-(4-Methoxyphenyl)-N-methyl-N-[(3-methyloxetan-3-yl)methyl]methanamine
C04322	Delta1-Pyrroline-5-carboxylate
C00328	L-Kynurenine
C05946	(4R)-4-Hydroxy-2-oxoglutarate
C16551	Alcophosphamide
C05692	Se-Adenosyl-L-selenohomocysteine
C05852	2-Hydroxyphenylacetate
C01189	Lathosterol
C05993	Acetyl adenylate
C03901	Thiomorpholine 3-carboxylate
C16470	5-Methylhex-4-enoyl-CoA
C05445	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
C01185	Nicotinate D-ribonucleotide
C05500	20alpha-Hydroxycholesterol
C00828	Menaquinone
C01239	N-Acetyl-beta-D-glucosaminylamine
C16591	3-Carbamoyl-2-phenylpropionic acid
C19488	7,12-Dimethylbenz[a]anthracene
C00346	Ethanolamine phosphate
C05502	22(R)-Hydroxycholesterol
C05638	5-Hydroxykynurenamine
C00024	Acetyl-CoA
C14869	Trichloroethanol glucuronide
C00111	Glycerone phosphate
C00523	Androsterone
C00084	Acetaldehyde
C15786	5alpha-Campestan-3-one
C03691	CMP-N-glycoloylneuraminate
C00486	Bilirubin
C05668	3-Hydroxypropionyl-CoA
C00160	Glycolate
C03917	Dihydrotestosterone
C05109	24,25-Dihydrolanosterol
C04196	Heparosan-N-sulfate D-glucuronate
C02515	3-Iodo-L-tyrosine
C00294	Inosine
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
C00468	Estrone
C15614	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA
C16329	3-Hydroxy-OPC8-CoA
C05582	Homovanillate
C05665	3-Aminopropanal
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C00325	GDP-L-fucose
C05302	2-Methoxy-17beta-estradiol
C00329	D-Glucosamine
C05861	alpha-D-Mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
C00206	dADP
C03564	1-Pyrroline-2-carboxylate
C04076	L-2-Aminoadipate 6-semialdehyde
C00299	Uridine
C00535	Testosterone
C07645	Aldophosphamide
C03356	3-Phospho-D-erythronate
C05479	5beta-Pregnane-3,20-dione
C05138	17alpha-Hydroxypregnenolone
C00487	Carnitine
C00318	L-Carnitine
C11924	Perillic acid
C00695	Cholic acid
C05487	17alpha,21-Dihydroxypregnenolone
C16635	5'-Deoxy-5-fluorocytidine
C00635	Chondroitin 6-sulfate
C01222	GDP-4-dehydro-6-deoxy-D-mannose
C00163	Propanoate
C00447	Sedoheptulose 1,7-bisphosphate
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C00319	Sphingosine
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C01595	Linoleate
C00331	Indolepyruvate
C18096	D-Allulose 6-phosphate
C02249	Arachidonyl-CoA
C00712	(9Z)-Octadecenoic acid
C05642	Formyl-N-acetyl-5-methoxykynurenamine
C15915	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol
C12448	Ecgonine methyl ester
C00427	Prostaglandin H2
C04144	Tetrahydropteroyltri-L-glutamate
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C02198	Thromboxane A2
C07326	1,5-Anhydro-D-glucitol
C00114	Choline
C00429	5,6-Dihydrouracil
C21776	2-({[(4-Methoxyphenyl)methyl](methyl)amino}methyl)-2-methylpropane-1,3-diol
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C00246	Butanoic acid
C00257	D-Gluconic acid
C02512	3-Cyano-L-alanine
C00956	L-2-Aminoadipate
C05298	2-Hydroxyestrone
C02571	O-Acetylcarnitine
C03227	3-Hydroxy-L-kynurenine
C00100	Propanoyl-CoA
C00048	Glyoxylate
C14842	Bromobenzene-2,3-dihydrodiol
C00483	Tyramine
C04188	S-Methyl-5-thio-D-ribose 1-phosphate
C02465	Triiodothyronine
C01272	1D-myo-Inositol 1,3,4,5-tetrakisphosphate
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C20909	Dermatan 4,6-sulfate
C01110	5-Amino-2-oxopentanoic acid
C13425	3-Hexaprenyl-4-hydroxybenzoate
C00531	Itaconyl-CoA
C02067	Pseudouridine
C11537	(2R)-3-Sulfolactate
C00756	1-Octanol
C00052	UDP-alpha-D-galactose
C06714	3-Hydroxypimeloyl-CoA
C19588	Aflatoxin B1 diol
C00337	(S)-Dihydroorotate
C15522	4a-Hydroxytetrahydrobiopterin
C02167	Maleylpyruvate
C00118	D-Glyceraldehyde 3-phosphate
C04731	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide
C01180	4-Methylthio-2-oxobutanoic acid
C05499	17alpha,20alpha-Dihydroxycholesterol
C04282	1-Pyrroline-4-hydroxy-2-carboxylate
C14850	Benzo[a]pyrene-7,8-oxide
C00394	GDP-glucose
C00785	Urocanate
C04886	alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine
C01227	Dehydroepiandrosterone
C00332	Acetoacetyl-CoA
C00300	Creatine
C06178	1-Methylpyrrolinium
C06377	D-Galactosamine 6-phosphate
C04644	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C00231	D-Xylulose 5-phosphate
C04062	D-myo-Inositol 1,3-bisphosphate
C00029	UDP-glucose
C00322	2-Oxoadipate
C00665	beta-D-Fructose 2,6-bisphosphate
C00611	N-Acetyllactosamine
C00951	Estradiol-17beta
C05815	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C00398	Tryptamine
C00458	dCTP
C05345	beta-D-Fructose 6-phosphate
C01183	N,N-Dimethylaniline N-oxide
C06615	cis-3-Chloroacrylic acid
C05437	Zymosterol
C16502	Farnesoic acid
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C14803	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
C00500	Biliverdin
C00330	Deoxyguanosine
C01087	(R)-2-Hydroxyglutarate
C04377	5,10-Methylenetetrahydromethanopterin
C04900	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid
C05578	5,6-Dihydroxyindole
C16332	trans-2-Enoyl-OPC6-CoA
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C03090	5-Phosphoribosylamine
C07343	2-Hydroxyphytanoyl-CoA
C01962	Thiocysteine
C00804	Propynoate
C14830	GDP-4-keto-6-L-deoxygalactose
C19848	Adenylated molybdopterin
C03284	L-3-Aminoisobutanoate
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C06002	(S)-Methylmalonate semialdehyde
C05966	15(S)-HPETE
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine
C02659	Acetone cyanohydrin
C18041	5alpha-Pregnan-20alpha-ol-3-one
C03313	Phylloquinol
C00067	Formaldehyde
C05127	N-Methylhistamine
C00233	4-Methyl-2-oxopentanoate
C05140	16alpha-Hydroxyandrost-4-ene-3,17-dione
C06425	Icosanoic acid
C00362	dGMP
C05842	N1-Methyl-2-pyridone-5-carboxamide
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate
C00104	IDP
C00386	Carnosine
C00156	4-Hydroxybenzoate
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C15816	3-Keto-4-methylzymosterol
C05688	L-Selenocysteine
C00577	D-Glyceraldehyde
C00112	CDP
C01231	alpha-D-Glucose 1,6-bisphosphate
C01176	17alpha-Hydroxyprogesterone
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C14844	Bromobenzene-3,4-dihydrodiol
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C00055	CMP
C04712	(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate
C00606	3-Sulfino-L-alanine
C02514	3-Fumarylpyruvate
C00058	Formate
C00700	XTP
C09819	(Hydroxymethylphenyl)succinyl-CoA
C01137	S-Adenosylmethioninamine
C03460	2-Methylprop-2-enoyl-CoA
C00311	Isocitrate
C00250	Pyridoxal
C19604	7,12-Dimethylbenz[a]anthracene 5,6-oxide
C16358	1-Methylxanthine
C01177	Inositol 1-phosphate
C01561	Calcidiol
C16756	Aflatoxin M1
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate
C05273	trans-Tetradec-2-enoyl-CoA
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
C18044	3beta-Hydroxypregn-5-en-20-one sulfate
C14874	Glutathione episulfonium ion
C03205	11-Deoxycorticosterone
C15988	(9S,10S)-9,10-Dihydroxyoctadecanoate
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C16560	3-Hydroxylidocaine
C05589	L-Normetanephrine
C00354	D-Fructose 1,6-bisphosphate
C00857	Deamino-NAD+
C04814	4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol
C06485	1,5-Anhydro-D-fructose
C00853	Cob(I)alamin
C02220	2-Aminomuconate
C16335	OPC4-CoA
C00581	Guanidinoacetate
C04646	6-Thioinosine-5'-monophosphate
C00074	Phosphoenolpyruvate
C14871	S-(Formylmethyl)glutathione
C05787	Bilirubin beta-diglucuronide
C00526	Deoxyuridine
C00490	Itaconate
C00301	ADP-ribose
C03827	2-Dehydro-3-deoxy-L-fuconate
C18170	3-Acetamidopropanal
C01181	4-Trimethylammoniobutanoate
C06174	Codeine
C00835	Sepiapterin
C04530	4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol
C04856	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C01008	Trimethylsulfonium
C17267	S-Sulfanylglutathione
C15853	Dehydrospermidine
C16359	1-Methyluric acid
C11821	5-Hydroxyisourate
C05274	Decanoyl-CoA
C05770	Coproporphyrin III
C02985	L-Fucose 1-phosphate
C02266	D-Xylonolactone
C04244	6-Lactoyl-5,6,7,8-tetrahydropterin
C02076	Sedoheptulose
C05497	21-Deoxycortisol
C15978	2-Methyl-1-hydroxybutyl-ThPP
C05451	7alpha-Hydroxy-5beta-cholestan-3-one
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate
C00222	3-Oxopropanoate
C04847	alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine
C16577	Codeine-6-glucuronide
C18309	3-Chloro-2-methyldienelactone
C00512	Benzoyl-CoA
C11376	SN38 glucuronide
C00315	Spermidine
C16453	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone
C05933	N(omega)-Hydroxyarginine
C16336	trans-2-Enoyl-OPC4-CoA
C00103	D-Glucose 1-phosphate
C05475	11beta,21-Dihydroxy-5beta-pregnane-3,20-dione
C17343	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C05598	Phenylacetylglycine
C07054	Isoniazid
C03785	D-Tagatose 1,6-bisphosphate
C01019	6-Deoxy-L-galactose
